PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,16.07,19.68,20.99,20.94,18.61,15.19,16.52,15.83,16.75,17.38,17.72,14.57,17.5
ALLSKY_SFC_SW_DWN,2012,15.48,20.12,20.37,19.33,20.72,15.62,15.43,17.23,17.46,17.71,14.53,15.33,17.44
ALLSKY_SFC_SW_DWN,2013,16.66,19.62,21.93,21.85,14.51,18.01,17.45,15.88,16.7,15.57,17.32,15,17.51
ALLSKY_SFC_SW_DWN,2014,16.98,18.85,22.41,22.89,19.65,16.93,18.05,15.59,18.05,18.12,16.98,15.54,18.33
ALLSKY_SFC_SW_DWN,2015,15.56,19.28,21.52,18.73,20.14,16.43,13.2,15.29,16.96,16.42,16.67,12.66,16.88
ALLSKY_SFC_SW_DWN,2016,15.25,16.45,19.81,19.54,19.19,18.87,15.39,16.62,17.47,16.98,16.27,15.6,17.28
ALLSKY_SFC_SW_DWN,2017,18.17,19.74,19.22,19.22,20.74,16.34,15.1,16.09,15.97,16.25,16.29,15.14,17.34
ALLSKY_SFC_SW_DWN,2018,15.93,18.34,20.39,20.73,18.35,15.5,15.59,17.04,18.09,15.3,17.47,14.54,17.26
ALLSKY_SFC_SW_DWN,2019,17.57,18.04,20.28,22.8,21.46,18.21,14.35,17.27,18.01,17.29,16.71,14.76,18.05
ALLSKY_SFC_SW_DWN,2020,14.14,18.32,21,19.63,19.98,17.73,16.41,16.67,17.24,16.95,16.26,15.87,17.51
ALLSKY_SFC_SW_DWN,2021,15.88,19.47,20.11,22.08,21.36,14.66,15.69,15.41,18.26,16.57,16.5,14.61,17.53
ALLSKY_SFC_SW_DWN,2022,15,19.65,21.29,21.31,17.04,15.81,19.39,17.99,17.28,18.31,17.59,14.84,17.94
ALLSKY_SFC_SW_DWN,2023,16.69,19.32,18.46,22.41,19.65,16.84,19.26,11.9,17.64,16.94,15.64,13.55,17.33
ALLSKY_SFC_SW_DWN,2024,14.67,17,19.55,20.96,19.27,16.06,16.65,12.83,16.89,16.07,16.61,15.12,16.8
ALLSKY_SFC_SW_DWN,2025,15.97,18.42,20.88,19.18,18.3,16.54,14.36,16.51,17.31,17.97,16.56,-999,-999
GWETROOT,2011,0.56,0.47,0.42,0.45,0.55,0.74,0.94,0.97,0.95,0.86,0.71,0.56,0.68
GWETROOT,2012,0.47,0.42,0.42,0.46,0.55,0.75,0.95,0.96,0.89,0.81,0.66,0.53,0.66
GWETROOT,2013,0.46,0.42,0.39,0.41,0.72,0.87,0.94,0.95,0.93,0.91,0.8,0.64,0.71
GWETROOT,2014,0.53,0.46,0.42,0.4,0.48,0.76,0.95,0.95,0.91,0.86,0.7,0.56,0.67
