PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,14.98,18.61,19.24,20.9,18.72,15.7,16.76,15.73,16.68,18.69,17.43,12.99,17.18
ALLSKY_SFC_SW_DWN,2012,13.63,19.07,20.13,18.77,20.19,15.22,17.49,17.71,16.7,16.7,15.29,13.46,17.02
ALLSKY_SFC_SW_DWN,2013,15.89,18.97,20.85,20.52,14.36,18.9,18.23,16.62,16.38,15.18,17.73,14.04,17.28
ALLSKY_SFC_SW_DWN,2014,15.49,17.73,21.58,22.18,19.65,15.91,18.65,15.95,17.08,18.16,17.08,13.76,17.76
ALLSKY_SFC_SW_DWN,2015,14.5,17.69,20.93,18.4,18.87,15.79,13.57,15.32,15.86,16.9,16.66,12.59,16.41
ALLSKY_SFC_SW_DWN,2016,14.2,16.05,18.34,18.69,18.06,18.62,15.76,18.19,16.3,16.53,15.89,15.34,16.83
ALLSKY_SFC_SW_DWN,2017,16.84,18.52,17.58,17.69,19.94,16.23,14.96,16.17,14.83,15.8,16.45,13.99,16.57
ALLSKY_SFC_SW_DWN,2018,15.01,16.79,19.73,18.78,16.13,15.81,16.6,17.13,17.64,16.12,16.56,14.1,16.69
ALLSKY_SFC_SW_DWN,2019,16.8,16.78,19.33,20.45,19.91,17.48,15.33,18.23,16.81,15.7,15.91,13.29,17.17
ALLSKY_SFC_SW_DWN,2020,12.7,16.74,20.05,19.08,18.49,16.25,15.83,16.94,15.78,15.88,16.19,14.81,16.56
ALLSKY_SFC_SW_DWN,2021,14.15,17.97,19.34,21.84,19.57,14.57,16.17,15.84,17.87,16.37,15.85,13.75,16.93
ALLSKY_SFC_SW_DWN,2022,13.48,17.51,20.49,19.84,17.16,14.2,19.19,18.71,16.31,17.27,17.19,14.41,17.15
ALLSKY_SFC_SW_DWN,2023,14.86,17.82,17.48,22.32,19.73,15.61,19.74,13.66,17.5,15.8,15.4,12.98,16.89
ALLSKY_SFC_SW_DWN,2024,12.49,16.16,18.75,20.43,18.93,14.06,17.29,13.16,16.39,13.93,16.31,13.81,15.97
ALLSKY_SFC_SW_DWN,2025,13.76,17.03,19.56,18.81,17.88,16.98,15.9,16.25,16.98,17.07,16.39,-999,-999
GWETROOT,2011,0.55,0.46,0.39,0.42,0.55,0.73,0.77,0.84,0.86,0.72,0.57,0.47,0.61
GWETROOT,2012,0.42,0.38,0.35,0.47,0.56,0.7,0.77,0.81,0.84,0.8,0.66,0.55,0.61
GWETROOT,2013,0.48,0.42,0.37,0.36,0.71,0.81,0.82,0.83,0.81,0.83,0.7,0.57,0.64
GWETROOT,2014,0.49,0.43,0.38,0.38,0.48,0.74,0.83,0.83,0.86,0.83,0.66,0.56,0.62
GWETROOT,2015,0.48,0.43,0.4,0.57,0.68,0.8,0.93,0.94,0.92,0.85,0.67,0.56,0.69
GWETROOT,2016,0.49,0.46,0.44,0.58,0.72,0.87,0.9,0.92,0.93,0.91,0.88,0.76,0.74
GWETROOT,2017,0.63,0.52,0.58,0.78,0.92,0.98,0.97,0.97,0.97,0.95,0.88,0.84,0.83
GWETROOT,2018,0.78,0.65,0.53,0.58,0.9,0.97,0.92,0.9,0.86,0.78,0.66,0.56,0.76
GWETROOT,2019,0.5,0.44,0.48,0.54,0.62,0.9,0.95,0.94,0.91,0.92,0.86,0.73,0.73
GWETROOT,2020,0.66,0.56,0.47,0.48,0.7,0.92,0.93,0.9,0.91,0.92,0.86,0.73,0.75
GWETROOT,2021,0.61,0.52,0.46,0.45,0.56,0.75,0.87,0.89,0.9,0.88,0.76,0.72,0.7
GWETROOT,2022,0.62,0.57,0.46,0.44,0.65,0.9,0.88,0.85,0.87,0.89,0.77,0.63,0.71
GWETROOT,2023,0.54,0.46,0.43,0.52,0.5,0.72,0.88,0.9,0.89,0.89,0.78,0.73,0.69
GWETROOT,2024,0.62,0.53,0.48,0.51,0.61,0.9,0.92,0.93,0.93,0.94,0.86,0.72,0.75
GWETROOT,2025,0.6,0.5,0.42,0.43,0.63,0.92,0.92,0.94,0.93,0.91,0.78,0.64,0.72
PRECTOTCORR,2011,0.01,0.07,1.71,2.38,11.44,9.58,7.56,13.1,5.82,1.47,0,0,4.46
PRECTOTCORR,2012,0.27,0.48,0.27,8.53,6.09,11.53,9.17,10.33,5.66,2.35,1.47,0.18,4.69
PRECTOTCORR,2013,0,0.27,0.83,3.09,18.29,10.41,6.84,8.06,6.49,5.47,0,0.08,5.02
PRECTOTCORR,2014,0,0.45,0.73,2.91,9.48,15.95,6.71,12.49,10.01,2.22,0,0.4,5.13
PRECTOTCORR,2015,0.15,1.1,0.75,11.41,9.92,12.3,21.96,11.57,6.64,2.81,0.19,0.08,6.61
PRECTOTCORR,2016,0.64,2.01,3.01,7.63,19.42,9.12,15.38,11.84,9.77,6.46,6.21,0.05,7.65
PRECTOTCORR,2017,0.18,0.83,8.71,21.43,13.5,29.19,20.45,25.62,19.22,12.58,0.33,5.56,13.19
PRECTOTCORR,2018,0.59,1.06,1.85,11.56,22.75,19.51,11.37,9.89,6.86,2.56,0.78,1.12,7.52
PRECTOTCORR,2019,0,3.07,1.8,5.64,15.98,15.18,25.37,10.8,10.64,9.14,2.01,0.28,8.37
PRECTOTCORR,2020,1.68,0.09,0.7,8.72,14.41,17.81,13.28,8.36,12.48,10.61,0.6,0,7.41
PRECTOTCORR,2021,0.14,0,2.18,2.63,10.37,13.39,14.01,12.04,9.34,5.62,0.52,3.38,6.18
PRECTOTCORR,2022,0.72,1.45,0.96,3.39,16.89,17.64,6.96,9.02,11.62,9.04,0.04,0.2,6.52
PRECTOTCORR,2023,0.05,0.09,3.97,3.96,6.44,18.02,9.72,14.81,9.34,6.9,4.11,1.63,6.62
PRECTOTCORR,2024,0.14,1.49,3.72,2.95,16.04,20.85,10.32,22.92,9.22,15.89,0.86,0.06,8.75
