PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.62,16.76,19.26,20.57,19.99,15.7,17.17,14.08,15.48,16.96,13.84,11.54,16.16
ALLSKY_SFC_SW_DWN,2012,11.29,17.56,20.32,21.57,22.16,16.78,15.16,16.74,16.31,17.15,13.29,11.25,16.62
ALLSKY_SFC_SW_DWN,2013,13.16,16.94,20.22,21.52,16.8,16.84,17.3,15.86,15.79,13.43,15.54,11.99,16.27
ALLSKY_SFC_SW_DWN,2014,12.3,15.69,20.06,22.84,20.67,15.87,15.56,15.7,17.36,16.22,14.38,11.72,16.53
ALLSKY_SFC_SW_DWN,2015,12.51,15.38,19.93,19.18,20.14,16.19,13.69,16.27,17.35,16.48,14.37,9.71,15.93
ALLSKY_SFC_SW_DWN,2016,11.06,14.34,17.83,21.73,19.4,19.2,14.61,16.38,16.43,16.85,14.11,12.68,16.21
ALLSKY_SFC_SW_DWN,2017,13.75,16.12,17.68,19.8,20.96,17.86,13.14,15.86,14.98,14,14.38,11.92,15.86
ALLSKY_SFC_SW_DWN,2018,13.02,15.85,19.27,19.87,18.08,17.38,14.9,16.4,16.54,15.64,14.07,11.75,16.06
ALLSKY_SFC_SW_DWN,2019,13.65,15.99,19.44,20.31,21.23,18.12,16.68,16.18,14.41,14.02,13.53,10.98,16.21
ALLSKY_SFC_SW_DWN,2020,11.5,14.68,18.68,19.47,18.39,16.72,15.89,15.19,14.97,15.37,14.59,10.73,15.51
ALLSKY_SFC_SW_DWN,2021,11.09,15.98,19,20.81,18.26,15.33,15.59,15.33,15.01,15.06,13.45,11.13,15.49
ALLSKY_SFC_SW_DWN,2022,11.47,15.33,20.02,20.47,18.63,17.04,18.36,16.38,14.76,16.51,15.01,11.76,16.31
ALLSKY_SFC_SW_DWN,2023,11.07,16.82,16.79,21.35,21.46,17.74,18.37,14.4,14.46,14.88,13.42,11.34,15.99
ALLSKY_SFC_SW_DWN,2024,10.25,14.12,17.84,21.03,18.97,17.7,16.57,14.12,15.41,12.31,13.65,11.87,15.31
ALLSKY_SFC_SW_DWN,2025,12.27,15.44,18.91,18.46,18.55,17.1,13.84,14.63,16,15.29,14.32,-999,-999
GWETROOT,2011,0.56,0.49,0.44,0.46,0.55,0.66,0.89,0.96,0.96,0.85,0.66,0.55,0.67
GWETROOT,2012,0.53,0.47,0.44,0.48,0.45,0.48,0.64,0.78,0.87,0.8,0.7,0.59,0.6
GWETROOT,2013,0.53,0.47,0.44,0.45,0.51,0.68,0.77,0.87,0.94,0.98,0.88,0.72,0.69
GWETROOT,2014,0.6,0.52,0.47,0.44,0.46,0.61,0.81,0.85,0.9,0.82,0.64,0.54,0.64
GWETROOT,2015,0.5,0.47,0.46,0.52,0.53,0.59,0.91,0.96,0.95,0.84,0.65,0.54,0.66
GWETROOT,2016,0.49,0.47,0.46,0.47,0.54,0.66,0.86,0.97,0.96,0.89,0.76,0.62,0.68
GWETROOT,2017,0.53,0.47,0.46,0.49,0.64,0.74,0.91,0.99,0.96,0.98,0.88,0.8,0.74
GWETROOT,2018,0.7,0.58,0.48,0.56,0.64,0.72,0.85,0.95,0.92,0.78,0.61,0.53,0.69
GWETROOT,2019,0.49,0.45,0.5,0.46,0.53,0.65,0.75,0.88,0.92,0.95,0.91,0.78,0.69
GWETROOT,2020,0.71,0.6,0.57,0.5,0.67,0.87,0.95,0.97,0.96,0.96,0.82,0.69,0.77
GWETROOT,2021,0.59,0.51,0.44,0.44,0.56,0.8,0.94,0.98,0.98,0.96,0.86,0.81,0.74
GWETROOT,2022,0.71,0.65,0.54,0.45,0.57,0.62,0.61,0.68,0.82,0.84,0.71,0.58,0.65
GWETROOT,2023,0.51,0.46,0.45,0.49,0.55,0.58,0.72,0.75,0.84,0.88,0.7,0.66,0.63
GWETROOT,2024,0.6,0.56,0.5,0.45,0.52,0.64,0.72,0.91,0.97,0.98,0.88,0.73,0.71
GWETROOT,2025,0.61,0.52,0.46,0.49,0.58,0.75,0.92,0.98,0.95,0.92,0.78,0.64,0.72
PRECTOTCORR,2011,0.04,0.03,0.9,2.49,5.97,10.97,7.43,13.83,8.25,0.78,0.05,0.39,4.28
PRECTOTCORR,2012,1.01,0.18,0.34,2.66,1.67,3.65,9.21,6.05,6.8,1.83,2.38,0.31,3.01
PRECTOTCORR,2013,0.09,0.4,0.46,1.35,7.24,7.43,6.43,8.8,7.07,7.87,0,0.01,3.96
PRECTOTCORR,2014,0.02,0.93,0.71,0.3,3.73,8.28,7.53,9.02,6.03,2.06,0,0.05,3.24
PRECTOTCORR,2015,0.49,1.45,1.12,4.14,3.3,9.71,17.84,6.19,6.67,1.41,0.03,0.08,4.38
PRECTOTCORR,2016,0.39,1.52,1.17,1.25,7.44,5.92,13.6,18.18,7.84,2.72,0.74,0,5.1
PRECTOTCORR,2017,0.02,0.01,1.6,5.18,7.18,8.11,21.28,10.28,7.39,11.24,0.84,2.01,6.32
PRECTOTCORR,2018,0,0.34,0.52,7.82,5.16,7.25,14.96,6.32,4.93,1.57,0.02,0.8,4.16
PRECTOTCORR,2019,0,2.64,0.79,1.57,6.55,7.09,8.55,11.2,10.69,6.96,2.99,0.45,4.97
PRECTOTCORR,2020,1.13,0.17,2.82,3.87,13.07,11.48,10.49,9.19,7.12,6.28,0.28,0.06,5.52
PRECTOTCORR,2021,0.13,0.04,0.11,0.63,8.56,12.51,10.83,10.77,9.07,5.12,0.97,2.81,5.16
PRECTOTCORR,2022,0.73,2.25,0.11,0.72,7.93,4.05,4.22,6.91,9.14,5,0.02,0.04,3.44
PRECTOTCORR,2023,0.01,0.02,2.29,2.99,5.72,7.01,5.02,8.98,8.04,5.59,0.32,2.42,4.06
PRECTOTCORR,2024,1.32,0.84,1.56,0.24,7.24,4.84,7.9,15.59,14.54,7.6,0.06,0.08,5.18
PRECTOTCORR,2025,0.02,0.4,0.21,4.43,9.11,7.48,16.07,9.67,6.44,4.3,0.56,0,4.93
RH2M,2011,59.06,47.87,44.49,54.97,69.91,79.86,87.41,90.93,90.55,80.79,75.54,69.7,71.07
RH2M,2012,63.18,47.31,32.46,55.97,55.76,66.45,82.91,87.91,88.94,82.49,75.65,65.71,67.12
RH2M,2013,53.51,44.34,33.67,46.62,68.52,85.4,86.92,89.57,89.26,88.23,80.88,75.61,70.37
RH2M,2014,67.71,56.54,47.55,36.92,54.14,77.43,87.4,88.81,87.05,79.75,67.84,59.75,67.67
RH2M,2015,57.89,50.47,42.38,64.75,65.86,75.88,89.49,89.57,85.97,78.48,70.05,59.01,69.25
RH2M,2016,50.96,50.08,49.27,50.27,64.58,81.31,88.27,89.6,88.74,82.96,78.05,73.12,70.67
RH2M,2017,58.27,45.35,49.95,58.82,73,84.29,90.06,90.16,89.98,86.04,79.2,81.3,74.06
RH2M,2018,64.21,57.83,46.88,68.63,74.88,83.21,88.24,89.64,87.61,75.88,68.61,60.72,72.26
RH2M,2019,51.83,45.39,53.91,53.83,63.83,79.56,85.54,88.51,89.34,86.32,83.75,80.62,72.03
RH2M,2020,74.66,60.9,58.55,57.67,75.21,87.67,90.16,89.91,90.29,86.04,80.53,75.31,77.31
RH2M,2021,65.3,46.1,35.5,42.54,69.16,86.6,88.7,90.8,89.85,86.19,82.02,81.4,72.19
RH2M,2022,77.94,67.23,56.69,51.76,70.77,78.66,81.21,85.14,88.78,85.6,74.32,65.85,73.72
RH2M,2023,59.51,43.71,45.87,45.83,63.19,72.32,84.61,85.4,88.71,81.88,78.93,78.92,69.26
RH2M,2024,69.83,58.31,52.84,35.75,62.14,79.78,86.12,90.18,89.97,87.64,78.69,78.28,72.55
RH2M,2025,71.25,54.97,46.91,61.21,70.47,82.89,89.05,90.63,88.9,84.85,80.09,79.55,75.19
T2M,2011,16.54,21.95,28.07,30.2,30.73,29.72,28.38,27.75,27.5,26.56,22.31,18.31,25.68
T2M,2012,18.05,21.25,27.54,31.35,33.09,32.34,29.31,28.48,27.65,23.97,19.73,15.86,25.72
T2M,2013,15.75,21.25,27.88,31.83,31.49,29.08,28.86,27.99,27.77,25.98,20.9,17.93,25.57
T2M,2014,16.6,20.43,26.25,33.37,33.57,30.88,29,28.34,27.91,26.13,21.38,17.47,25.96
T2M,2015,18.17,22.44,27.22,29.17,31.52,30.25,28.37,28.36,28.13,26.66,23.72,19.91,26.17
T2M,2016,18.92,24.5,28.56,33.34,31.49,29.63,28.37,28.19,27.94,26.25,21.71,18.37,26.43
T2M,2017,18.41,22.93,26.77,31.06,30.39,29.3,28.27,28.24,27.92,26.42,21.59,18.63,25.83
T2M,2018,15.06,21.52,27.27,28.51,29.48,29.31,28.84,28.45,27.97,25.82,23.21,18.22,25.31
T2M,2019,18.31,22.77,26.2,31.6,32.16,30.39,29.2,28.65,27.81,25.79,22.51,17.02,26.04
T2M,2020,16.41,19.33,25.43,29.64,29.33,28.82,28.5,28.58,28.22,27.42,21.82,17.66,25.11
T2M,2021,17.92,21.92,29.47,32.52,30.6,28.66,28.68,28.2,27.54,26.69,21.46,18.1,26
T2M,2022,16.8,19.22,26.49,32.89,30.41,29.62,29.27,28.73,27.93,25.88,21.74,18.99,25.69
T2M,2023,18.56,22.95,27.74,31.19,31.01,31.31,29.63,28.99,28.5,26.41,22.67,18.69,26.48
T2M,2024,16.29,21.44,26.19,33.6,31.88,30.58,29.45,28.21,28.38,27.07,22.51,17.63,26.1
T2M,2025,17.77,22.36,27.75,30.12,30.44,29.37,28.59,27.98,28.01,26.48,20.8,16.28,25.5
