PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,14.98,18.61,19.24,20.9,18.72,15.7,16.76,15.73,16.68,18.69,17.43,12.99,17.18
ALLSKY_SFC_SW_DWN,2012,13.63,19.07,20.13,18.77,20.19,15.22,17.49,17.71,16.7,16.7,15.29,13.46,17.02
ALLSKY_SFC_SW_DWN,2013,15.89,18.97,20.85,20.52,14.36,18.9,18.23,16.62,16.38,15.18,17.73,14.04,17.28
ALLSKY_SFC_SW_DWN,2014,15.49,17.73,21.58,22.18,19.65,15.91,18.65,15.95,17.08,18.16,17.08,13.76,17.76
ALLSKY_SFC_SW_DWN,2015,14.5,17.69,20.93,18.4,18.87,15.79,13.57,15.32,15.86,16.9,16.66,12.59,16.41
ALLSKY_SFC_SW_DWN,2016,14.2,16.05,18.34,18.69,18.06,18.62,15.76,18.19,16.3,16.53,15.89,15.34,16.83
ALLSKY_SFC_SW_DWN,2017,16.84,18.52,17.58,17.69,19.94,16.23,14.96,16.17,14.83,15.8,16.45,13.99,16.57
ALLSKY_SFC_SW_DWN,2018,15.01,16.79,19.73,18.78,16.13,15.81,16.6,17.13,17.64,16.12,16.56,14.1,16.69
ALLSKY_SFC_SW_DWN,2019,16.8,16.78,19.33,20.45,19.91,17.48,15.33,18.23,16.81,15.7,15.91,13.29,17.17
ALLSKY_SFC_SW_DWN,2020,12.7,16.74,20.05,19.08,18.49,16.25,15.83,16.94,15.78,15.88,16.19,14.81,16.56
ALLSKY_SFC_SW_DWN,2021,14.15,17.97,19.34,21.84,19.57,14.57,16.17,15.84,17.87,16.37,15.85,13.75,16.93
ALLSKY_SFC_SW_DWN,2022,13.48,17.51,20.49,19.84,17.16,14.2,19.19,18.71,16.31,17.27,17.19,14.41,17.15
ALLSKY_SFC_SW_DWN,2023,14.86,17.82,17.48,22.32,19.73,15.61,19.74,13.66,17.5,15.8,15.4,12.98,16.89
ALLSKY_SFC_SW_DWN,2024,12.49,16.16,18.75,20.43,18.93,14.06,17.29,13.16,16.39,13.93,16.31,13.81,15.97
ALLSKY_SFC_SW_DWN,2025,13.76,17.03,19.56,18.81,17.88,16.98,15.9,16.25,16.98,17.07,16.39,-999,-999
GWETROOT,2011,0.63,0.53,0.44,0.45,0.57,0.74,0.83,0.9,0.9,0.81,0.67,0.55,0.67
GWETROOT,2012,0.49,0.43,0.39,0.49,0.54,0.66,0.77,0.83,0.86,0.82,0.72,0.61,0.63
GWETROOT,2013,0.53,0.46,0.41,0.4,0.65,0.77,0.82,0.85,0.86,0.87,0.77,0.64,0.67
GWETROOT,2014,0.55,0.47,0.42,0.4,0.46,0.72,0.84,0.86,0.87,0.84,0.71,0.61,0.65
GWETROOT,2015,0.53,0.47,0.42,0.52,0.58,0.68,0.91,0.94,0.93,0.88,0.75,0.64,0.69
GWETROOT,2016,0.55,0.49,0.46,0.52,0.63,0.79,0.9,0.93,0.94,0.93,0.89,0.78,0.73
GWETROOT,2017,0.68,0.57,0.64,0.75,0.88,0.98,0.97,0.98,0.98,0.95,0.87,0.84,0.84
GWETROOT,2018,0.78,0.67,0.54,0.58,0.86,0.96,0.94,0.93,0.88,0.81,0.72,0.62,0.77
GWETROOT,2019,0.55,0.48,0.51,0.53,0.57,0.79,0.93,0.96,0.94,0.93,0.86,0.77,0.74
GWETROOT,2020,0.75,0.64,0.54,0.53,0.7,0.91,0.93,0.91,0.9,0.93,0.89,0.78,0.78
GWETROOT,2021,0.68,0.58,0.48,0.43,0.49,0.71,0.87,0.92,0.93,0.91,0.82,0.8,0.72
GWETROOT,2022,0.72,0.65,0.52,0.46,0.6,0.85,0.85,0.84,0.87,0.89,0.8,0.68,0.73
GWETROOT,2023,0.59,0.5,0.47,0.53,0.5,0.69,0.84,0.9,0.91,0.89,0.81,0.77,0.7
GWETROOT,2024,0.68,0.58,0.52,0.51,0.6,0.84,0.91,0.96,0.96,0.95,0.85,0.74,0.76
GWETROOT,2025,0.64,0.54,0.44,0.46,0.62,0.89,0.94,0.95,0.93,0.92,0.79,0.67,0.73
PRECTOTCORR,2011,0,0.12,1.83,2.44,12,11.41,8.16,15.7,7.8,1.89,0,0,5.15
PRECTOTCORR,2012,0.27,0.43,0.22,8.63,5.52,11.64,11.21,10.49,6.11,2.17,1.73,0.05,4.87
PRECTOTCORR,2013,0,0.2,0.78,2.2,17.02,11.48,7.85,9.1,8.01,5.26,0,0.06,5.2
PRECTOTCORR,2014,0,0.37,0.83,1.72,9.15,17.57,7.58,13.28,9.93,2.65,0,0.26,5.3
PRECTOTCORR,2015,0.06,0.83,0.71,8.63,6.98,12.77,26.5,11.01,8.95,4.07,0.13,0.04,6.76
PRECTOTCORR,2016,0.07,1.75,3.04,4.12,17.4,7.87,20.96,15.72,11.22,8.39,8.4,0.02,8.29
PRECTOTCORR,2017,0.35,0.5,9.2,18.81,12.18,30.88,30.23,30.74,21.7,12.53,0.31,5.73,14.51
PRECTOTCORR,2018,0.23,0.44,1.18,11.71,19.99,21.5,16.91,10.07,7.46,2.52,0.85,1.11,7.86
PRECTOTCORR,2019,0,3.37,2.1,4.37,12.9,10.36,32.73,17.81,13,8.27,3.81,0.42,9.16
PRECTOTCORR,2020,3,0.12,1.01,9.02,14.39,18.1,13.85,10.14,12.38,11.93,1.5,0,7.97
PRECTOTCORR,2021,0.08,0,0.81,1.31,8.35,16.33,16.55,12.44,11.89,6.47,0.85,3.99,6.63
PRECTOTCORR,2022,0.64,1.56,0.5,2.3,15.08,15.83,6.76,8.78,11.85,9.51,0.1,0.23,6.12
PRECTOTCORR,2023,0.03,0.02,4.98,3.21,5.92,17.71,7.75,16.9,10.9,6.14,4.88,1.54,6.69
PRECTOTCORR,2024,0.17,1.25,4.53,1.97,15.69,17.66,10.93,32.44,13.12,14.49,0.72,0.13,9.48
