PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,16.6,20.35,21.61,21.16,18.61,13.3,15.1,14.72,14.83,17.01,18.1,14.72,17.15
ALLSKY_SFC_SW_DWN,2012,16.63,20.4,20.6,21.24,20.7,14.08,12.96,15.74,16.59,17.4,15.3,16.14,17.3
ALLSKY_SFC_SW_DWN,2013,17.11,20.19,22.52,22.8,14.56,16.96,15.65,14.62,15.63,15.32,17.55,15.29,17.32
ALLSKY_SFC_SW_DWN,2014,17.46,19.42,22.44,22.98,20.8,15.68,16.06,14.08,18.03,18.18,17.37,16.14,18.21
ALLSKY_SFC_SW_DWN,2015,16.17,19.85,22.38,19.54,20.79,14.36,11.68,15.23,16.5,16.42,16.44,13.19,16.86
ALLSKY_SFC_SW_DWN,2016,15.71,16.9,20.17,20.26,19.31,17.11,13.17,14.98,16.35,16.47,16.91,15.79,16.92
ALLSKY_SFC_SW_DWN,2017,18.41,20.2,20.03,20.27,21.15,15.23,13.13,15.11,14.86,16.04,16.02,15.23,17.12
ALLSKY_SFC_SW_DWN,2018,16.36,19,20.95,21.98,19.08,13.97,13.88,17.17,17.35,14.68,17.41,15.1,17.22
ALLSKY_SFC_SW_DWN,2019,17.73,18.93,21.2,23.4,21.75,17.3,12.62,16.44,16.39,17.18,16.91,15.55,17.94
ALLSKY_SFC_SW_DWN,2020,14.94,19.04,21.92,21.72,20.91,16.4,15.58,14.42,16.33,16.3,16.37,16.43,17.52
ALLSKY_SFC_SW_DWN,2021,16.39,19.47,20.68,22.15,21.64,13.28,14.71,14.95,17.04,15.82,17,15.23,17.35
ALLSKY_SFC_SW_DWN,2022,15.72,20.14,21.07,21.9,17.11,15.34,18.76,16.89,16.16,17.67,17.36,15.22,17.76
ALLSKY_SFC_SW_DWN,2023,17.06,19.67,19.72,23.11,19.09,15.84,17.82,11.24,16.38,16.44,15.64,14.26,17.16
ALLSKY_SFC_SW_DWN,2024,15.58,17.96,21.08,22.11,19.66,15.57,13.96,11.91,15.91,15.95,16.61,15.3,16.78
ALLSKY_SFC_SW_DWN,2025,16.52,19.21,21.74,19.73,17.56,14.31,12.06,16.39,16.82,16.72,16.57,-999,-999
GWETROOT,2011,0.62,0.5,0.43,0.48,0.69,0.91,0.97,0.98,0.98,0.91,0.78,0.63,0.74
GWETROOT,2012,0.51,0.43,0.44,0.52,0.7,0.9,0.98,0.98,0.96,0.88,0.74,0.6,0.72
GWETROOT,2013,0.49,0.44,0.4,0.41,0.85,0.96,0.97,0.98,0.96,0.96,0.86,0.71,0.75
GWETROOT,2014,0.57,0.48,0.43,0.4,0.54,0.82,0.98,0.98,0.96,0.92,0.77,0.64,0.71
GWETROOT,2015,0.52,0.45,0.43,0.52,0.58,0.82,0.99,0.98,0.97,0.94,0.82,0.69,0.73
GWETROOT,2016,0.57,0.5,0.51,0.53,0.73,0.93,0.99,0.99,0.98,0.96,0.91,0.77,0.78
GWETROOT,2017,0.63,0.5,0.63,0.79,0.92,0.99,0.99,0.98,1,0.98,0.85,0.77,0.84
GWETROOT,2018,0.69,0.56,0.46,0.59,0.9,0.98,0.99,0.97,0.98,0.96,0.85,0.71,0.8
GWETROOT,2019,0.58,0.49,0.55,0.66,0.72,0.96,0.99,0.99,0.99,0.97,0.92,0.79,0.8
GWETROOT,2020,0.75,0.61,0.5,0.54,0.84,0.98,0.99,0.98,0.97,0.98,0.93,0.78,0.82
GWETROOT,2021,0.65,0.52,0.45,0.44,0.56,0.92,0.98,0.99,0.97,0.97,0.84,0.73,0.75
GWETROOT,2022,0.62,0.55,0.46,0.45,0.74,0.97,0.93,0.95,0.96,0.96,0.84,0.7,0.76
GWETROOT,2023,0.61,0.49,0.48,0.57,0.63,0.86,0.94,0.98,0.99,0.95,0.9,0.84,0.77
GWETROOT,2024,0.72,0.62,0.5,0.46,0.68,0.95,0.98,0.99,0.97,0.95,0.87,0.71,0.78
GWETROOT,2025,0.57,0.47,0.42,0.52,0.74,0.98,0.99,0.97,0.96,0.95,0.83,0.68,0.76
PRECTOTCORR,2011,0.45,0.04,2.77,4.84,16.41,35.34,33.24,46.12,34.58,6.22,0.01,0.23,15.1
PRECTOTCORR,2012,0,0.07,2.29,9.65,8.53,36.61,53.01,29.85,15.7,3.71,1.28,0.01,13.44
PRECTOTCORR,2013,0,0.57,0.07,3.16,39.76,36.59,31.48,29.43,15.1,17.02,0,0,14.55
