PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,10.94,16.41,19.46,20.68,19.96,16.61,16.35,16.16,16.1,17.49,13.86,11.11,16.25
ALLSKY_SFC_SW_DWN,2012,11.31,17.37,20.67,21.74,21.58,16.45,15.86,18.04,15.75,17.66,14.7,10.03,16.76
ALLSKY_SFC_SW_DWN,2013,13.58,17.2,20.76,20.67,17.69,17.86,17.74,15.87,17.64,13.87,15.27,11.5,16.62
ALLSKY_SFC_SW_DWN,2014,11.17,14.58,20.14,23.5,20.81,16.16,17.11,15.5,15.94,17.31,14.28,11.35,16.49
ALLSKY_SFC_SW_DWN,2015,11.41,14.8,19.2,18.9,19.43,17.12,16.58,14.43,17.15,17.51,14.49,10.69,15.97
ALLSKY_SFC_SW_DWN,2016,10.7,15.73,18.71,21.16,18.23,17.9,14.78,19.22,14.46,16.7,15.51,12.62,16.3
ALLSKY_SFC_SW_DWN,2017,13.34,16.08,17.05,17.97,19.61,18.25,15.17,15.55,15.63,14.05,15.06,12.57,15.85
ALLSKY_SFC_SW_DWN,2018,10.45,15.36,19.1,19.12,17.99,17.38,16.25,17.13,16.66,16.29,14.64,12.33,16.05
ALLSKY_SFC_SW_DWN,2019,13.56,15.02,19.98,19.15,19.75,18.76,14.9,18.25,13.7,14.53,14.01,10.88,16.04
ALLSKY_SFC_SW_DWN,2020,10.65,14.55,19,19.98,17.47,15.71,12.48,16.93,11.64,16.26,14.68,11.24,15.05
ALLSKY_SFC_SW_DWN,2021,10.47,15.46,19.01,21.47,16.22,16.42,15.66,13.79,17.22,14.39,14.08,12.3,15.52
ALLSKY_SFC_SW_DWN,2022,10.38,14.69,19.3,17.86,18,14.75,18.8,16.91,14.57,16.62,15.49,11.54,15.75
ALLSKY_SFC_SW_DWN,2023,11.49,15.44,17.76,21.82,21.21,18.91,16.76,14.29,14.94,15.54,15.03,11.46,16.21
ALLSKY_SFC_SW_DWN,2024,8.67,14.43,17.57,22.34,18.49,15.5,16.77,16.7,16.33,12.96,14.22,11.65,15.46
ALLSKY_SFC_SW_DWN,2025,10.39,15.41,19.21,18.39,17.49,18.42,16.28,15.29,16.13,14.72,14.33,-999,-999
GWETROOT,2011,0.51,0.45,0.4,0.39,0.48,0.54,0.72,0.91,0.89,0.82,0.65,0.54,0.61
GWETROOT,2012,0.48,0.43,0.38,0.41,0.41,0.52,0.8,0.8,0.87,0.82,0.65,0.54,0.59
GWETROOT,2013,0.47,0.42,0.38,0.4,0.47,0.62,0.8,0.86,0.85,0.87,0.79,0.65,0.63
GWETROOT,2014,0.55,0.48,0.42,0.37,0.42,0.58,0.75,0.79,0.89,0.82,0.64,0.54,0.61
GWETROOT,2015,0.49,0.43,0.39,0.43,0.5,0.64,0.77,0.84,0.96,0.81,0.63,0.51,0.62
GWETROOT,2016,0.46,0.42,0.38,0.4,0.52,0.64,0.91,0.89,0.94,0.95,0.78,0.64,0.66
GWETROOT,2017,0.55,0.47,0.42,0.51,0.63,0.7,0.88,0.96,0.95,0.95,0.84,0.71,0.72
GWETROOT,2018,0.6,0.51,0.43,0.47,0.69,0.79,0.87,0.9,0.91,0.76,0.59,0.5,0.67
GWETROOT,2019,0.45,0.41,0.39,0.41,0.44,0.62,0.91,0.93,0.97,0.96,0.85,0.72,0.67
