PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.92,17.15,18.86,20.5,19.36,15.72,16.94,14.04,16.21,17.87,14.92,11.66,16.33
ALLSKY_SFC_SW_DWN,2012,12.23,17.79,19.97,20.63,21.05,16.02,16.28,16.68,16.19,17.13,13.98,11.44,16.61
ALLSKY_SFC_SW_DWN,2013,13.92,17.49,20.07,20.54,15.72,18.15,17.75,15.98,15.82,13.73,16.62,12.54,16.51
ALLSKY_SFC_SW_DWN,2014,12.25,16.2,20.42,22.25,19.85,15.12,16.6,15.48,17.36,17.03,14.98,11.78,16.61
ALLSKY_SFC_SW_DWN,2015,12.69,15.82,20.49,18.65,19.83,15.91,14.1,15.62,16.47,16.99,15.27,10.78,16.05
ALLSKY_SFC_SW_DWN,2016,11.77,14.62,17.61,20.44,18.78,18.69,15.17,17.59,16.39,17.12,15.27,13.33,16.39
ALLSKY_SFC_SW_DWN,2017,14.49,16.59,17.22,18.81,20.73,17.02,13.87,16.2,15.29,14.38,14.79,12.77,16
ALLSKY_SFC_SW_DWN,2018,12.94,15.57,18.81,19.66,17.16,17.63,15.37,16.97,16.94,15.59,14.81,13.09,16.21
ALLSKY_SFC_SW_DWN,2019,14.72,16.08,18.88,20.2,20.58,18.21,16.5,16.75,15.01,15.21,14.42,11.64,16.52
ALLSKY_SFC_SW_DWN,2020,11.6,14.88,19.14,18.9,18.41,16.78,16.06,15.8,15.25,15,15.14,11.63,15.71
ALLSKY_SFC_SW_DWN,2021,11.6,16.3,18.71,21.19,19.07,15.08,15.57,15.23,16.19,15.91,14.33,12.04,15.92
ALLSKY_SFC_SW_DWN,2022,12.06,15.57,20.02,19.23,18.06,15.8,18.7,17.78,15.31,16.66,15.94,12.23,16.45
ALLSKY_SFC_SW_DWN,2023,11.54,16.04,16.43,21.19,20.63,16.3,19.09,14.31,15.34,15.36,14.4,11.67,16.02
ALLSKY_SFC_SW_DWN,2024,10.64,14.43,17.77,20.56,18.93,16.79,16.56,14.31,15.55,12.52,14.96,12.61,15.46
ALLSKY_SFC_SW_DWN,2025,11.83,14.93,18.69,18.5,17.78,17.55,13.69,15.08,16.44,15.83,15.59,-999,-999
GWETROOT,2011,0.56,0.47,0.4,0.43,0.54,0.67,0.84,0.92,0.92,0.78,0.6,0.49,0.64
GWETROOT,2012,0.46,0.41,0.38,0.47,0.48,0.51,0.64,0.75,0.83,0.76,0.66,0.55,0.58
GWETROOT,2013,0.48,0.42,0.38,0.39,0.58,0.77,0.83,0.87,0.88,0.91,0.78,0.62,0.66
GWETROOT,2014,0.52,0.45,0.4,0.38,0.42,0.69,0.87,0.88,0.88,0.81,0.63,0.52,0.62
GWETROOT,2015,0.46,0.42,0.4,0.5,0.53,0.64,0.94,0.96,0.95,0.86,0.67,0.54,0.66
GWETROOT,2016,0.47,0.44,0.42,0.45,0.59,0.81,0.94,0.98,0.95,0.92,0.87,0.71,0.71
GWETROOT,2017,0.59,0.48,0.52,0.63,0.86,0.97,0.99,0.99,0.98,0.98,0.88,0.83,0.81
GWETROOT,2018,0.72,0.59,0.48,0.59,0.86,0.97,0.97,0.96,0.91,0.78,0.62,0.53,0.75
GWETROOT,2019,0.48,0.43,0.5,0.48,0.57,0.85,0.93,0.97,0.95,0.95,0.92,0.79,0.74
GWETROOT,2020,0.74,0.61,0.55,0.54,0.82,0.95,0.95,0.96,0.95,0.96,0.9,0.76,0.81
GWETROOT,2021,0.64,0.53,0.43,0.4,0.53,0.85,0.95,0.97,0.94,0.94,0.82,0.8,0.73
GWETROOT,2022,0.7,0.64,0.51,0.43,0.61,0.82,0.79,0.8,0.89,0.92,0.82,0.67,0.72
GWETROOT,2023,0.57,0.48,0.44,0.53,0.62,0.74,0.89,0.93,0.96,0.94,0.8,0.76,0.72
GWETROOT,2024,0.67,0.59,0.52,0.48,0.57,0.78,0.89,0.96,0.98,0.97,0.86,0.7,0.75
GWETROOT,2025,0.58,0.49,0.41,0.44,0.59,0.91,0.96,0.97,0.95,0.94,0.83,0.67,0.73
PRECTOTCORR,2011,0.01,0.02,1.14,2.97,7.61,9.49,8.04,14.64,6.6,1.01,0.02,0.19,4.34
PRECTOTCORR,2012,0.68,0.3,0.31,5.2,2.89,5.01,8.83,7.49,6.3,1.9,2.58,0.08,3.47
PRECTOTCORR,2013,0.04,0.26,0.6,1.65,12.85,8.75,7.04,7.59,7.96,5.46,0,0.03,4.38
PRECTOTCORR,2014,0,0.58,0.45,1.09,6.27,12.23,7.91,9.84,6.96,1.9,0,0.03,3.95
PRECTOTCORR,2015,0.2,1.01,0.76,5.62,4.25,13.43,19.56,8.71,7.8,2.28,0.03,0.05,5.33
PRECTOTCORR,2016,0.37,1.43,1.48,2.02,14.81,6.43,19.77,19.84,9.59,5.47,3.38,0.01,7.1
PRECTOTCORR,2017,0.04,0.11,5.12,12.39,10.12,17.33,28.05,25.42,14.75,16.42,0.73,3.47,11.25
PRECTOTCORR,2018,0,0.6,1.17,11.69,14.76,13.69,20.11,7.9,5.55,1.85,0.47,0.9,6.59
