PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,14.98,18.61,19.24,20.9,18.72,15.7,16.76,15.73,16.68,18.69,17.43,12.99,17.18
ALLSKY_SFC_SW_DWN,2012,13.63,19.07,20.13,18.77,20.19,15.22,17.49,17.71,16.7,16.7,15.29,13.46,17.02
ALLSKY_SFC_SW_DWN,2013,15.89,18.97,20.85,20.52,14.36,18.9,18.23,16.62,16.38,15.18,17.73,14.04,17.28
ALLSKY_SFC_SW_DWN,2014,15.49,17.73,21.58,22.18,19.65,15.91,18.65,15.95,17.08,18.16,17.08,13.76,17.76
ALLSKY_SFC_SW_DWN,2015,14.5,17.69,20.93,18.4,18.87,15.79,13.57,15.32,15.86,16.9,16.66,12.59,16.41
ALLSKY_SFC_SW_DWN,2016,14.2,16.05,18.34,18.69,18.06,18.62,15.76,18.19,16.3,16.53,15.89,15.34,16.83
ALLSKY_SFC_SW_DWN,2017,16.84,18.52,17.58,17.69,19.94,16.23,14.96,16.17,14.83,15.8,16.45,13.99,16.57
ALLSKY_SFC_SW_DWN,2018,15.01,16.79,19.73,18.78,16.13,15.81,16.6,17.13,17.64,16.12,16.56,14.1,16.69
ALLSKY_SFC_SW_DWN,2019,16.8,16.78,19.33,20.45,19.91,17.48,15.33,18.23,16.81,15.7,15.91,13.29,17.17
ALLSKY_SFC_SW_DWN,2020,12.7,16.74,20.05,19.08,18.49,16.25,15.83,16.94,15.78,15.88,16.19,14.81,16.56
ALLSKY_SFC_SW_DWN,2021,14.15,17.97,19.34,21.84,19.57,14.57,16.17,15.84,17.87,16.37,15.85,13.75,16.93
ALLSKY_SFC_SW_DWN,2022,13.48,17.51,20.49,19.84,17.16,14.2,19.19,18.71,16.31,17.27,17.19,14.41,17.15
ALLSKY_SFC_SW_DWN,2023,14.86,17.82,17.48,22.32,19.73,15.61,19.74,13.66,17.5,15.8,15.4,12.98,16.89
ALLSKY_SFC_SW_DWN,2024,12.49,16.16,18.75,20.43,18.93,14.06,17.29,13.16,16.39,13.93,16.31,13.81,15.97
ALLSKY_SFC_SW_DWN,2025,13.76,17.03,19.56,18.81,17.88,16.98,15.9,16.25,16.98,17.07,16.39,-999,-999
GWETROOT,2011,0.68,0.57,0.46,0.46,0.57,0.75,0.93,0.97,0.97,0.87,0.74,0.62,0.72
GWETROOT,2012,0.53,0.45,0.41,0.49,0.55,0.69,0.87,0.94,0.95,0.89,0.77,0.67,0.69
GWETROOT,2013,0.58,0.49,0.41,0.39,0.64,0.79,0.9,0.95,0.96,0.94,0.84,0.71,0.72
GWETROOT,2014,0.62,0.52,0.44,0.39,0.44,0.74,0.94,0.95,0.94,0.91,0.77,0.67,0.7
GWETROOT,2015,0.57,0.49,0.43,0.48,0.52,0.65,0.94,0.97,0.97,0.94,0.81,0.71,0.71
GWETROOT,2016,0.61,0.53,0.48,0.49,0.6,0.82,0.97,0.98,0.98,0.96,0.93,0.82,0.76
GWETROOT,2017,0.72,0.6,0.68,0.8,0.93,0.99,0.99,0.99,0.99,0.97,0.9,0.86,0.87
GWETROOT,2018,0.79,0.69,0.56,0.59,0.88,0.99,0.98,0.97,0.97,0.9,0.81,0.71,0.82
GWETROOT,2019,0.63,0.54,0.54,0.52,0.56,0.77,0.96,0.98,0.97,0.96,0.92,0.83,0.77
GWETROOT,2020,0.82,0.72,0.61,0.57,0.78,0.97,0.98,0.96,0.96,0.98,0.94,0.83,0.84
GWETROOT,2021,0.73,0.62,0.51,0.42,0.46,0.77,0.96,0.98,0.97,0.96,0.86,0.83,0.76
GWETROOT,2022,0.75,0.69,0.55,0.46,0.6,0.89,0.92,0.92,0.95,0.96,0.85,0.74,0.77
GWETROOT,2023,0.66,0.55,0.49,0.55,0.51,0.74,0.9,0.97,0.98,0.94,0.86,0.82,0.75
GWETROOT,2024,0.73,0.64,0.56,0.52,0.63,0.89,0.95,0.99,0.99,0.96,0.86,0.75,0.79
GWETROOT,2025,0.65,0.54,0.45,0.47,0.66,0.96,0.98,0.98,0.96,0.95,0.83,0.72,0.76
PRECTOTCORR,2011,0,0.16,1.81,2.74,11.55,14.55,11.55,20.55,11.35,2.36,0,0,6.43
PRECTOTCORR,2012,0.2,0.5,0.32,8.46,5.67,14.04,16.28,12.38,7.12,2.1,1.34,0.03,5.71
PRECTOTCORR,2013,0,0.15,0.5,1.72,17.09,14.45,10.95,13.23,10.49,6.07,0,0.02,6.27
PRECTOTCORR,2014,0,0.47,1.02,0.71,8.71,23.03,11.13,17.17,11.49,3.21,0.02,0.04,6.44
PRECTOTCORR,2015,0.08,0.41,0.99,6.2,5.23,17.04,32.25,13.53,12.45,6.96,0.21,0.03,8
PRECTOTCORR,2016,0.04,1.58,3.12,2.35,16.15,9.35,32.63,23.6,18.85,13.21,9.77,0,10.95
PRECTOTCORR,2017,0.2,0.43,9.25,20.31,12.07,35.43,47.05,39.98,34.17,14.3,0.46,4.63,18.29
PRECTOTCORR,2018,0.23,0.24,0.71,12.22,18.91,30.61,35.23,15,11.99,4.17,0.85,1.01,10.99
PRECTOTCORR,2019,0,3.54,2.13,3.53,11.41,11.54,49.25,25.41,18.69,10.54,6.26,0.6,12
PRECTOTCORR,2020,4.03,0.21,1.14,10.31,16.38,20.27,18.22,14.49,16.99,15.62,3.94,0,10.16
PRECTOTCORR,2021,0.02,0,0.59,0.76,7.11,22.24,20.97,18.54,13.07,8.15,0.65,3.74,8.04
PRECTOTCORR,2022,0.71,1.56,0.24,2.55,15.25,19.26,8.48,10.96,13.55,10.63,0.23,0.54,7.02
PRECTOTCORR,2023,0.01,0,5.47,2.99,6.74,19.68,7.96,23.85,15.13,7.72,4.93,1.22,8.01
PRECTOTCORR,2024,0.28,1.22,4.23,1.79,17.52,17.42,15.16,44.3,17.68,10.64,0.64,0.13,10.99
