PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,13.73,17.96,18.32,20.79,17.62,16.05,16.37,15.69,17.64,18.45,16.38,12.66,16.78
ALLSKY_SFC_SW_DWN,2012,12.82,18.22,19.99,18.71,20.09,14.07,17.93,17.7,15.79,16.26,14.35,11.99,16.49
ALLSKY_SFC_SW_DWN,2013,14.95,18.33,20.5,20,15.63,18.55,18.36,15.97,16.27,14.84,16.94,13.18,16.94
ALLSKY_SFC_SW_DWN,2014,14.41,16.09,21.08,21.9,19.15,15.66,18.73,15.56,15.98,17.39,16.27,12.86,17.09
ALLSKY_SFC_SW_DWN,2015,13.89,16.48,20.26,17.72,17.14,15.53,14.56,13.96,15.73,16.86,16.14,12.62,15.9
ALLSKY_SFC_SW_DWN,2016,13.19,15.63,18.24,18,17.55,17.79,16.04,18.12,15.71,16.07,15.27,14.65,16.36
ALLSKY_SFC_SW_DWN,2017,15.61,17.89,16.2,16.4,19.32,14.79,15.76,15.25,13.94,15.17,15.59,13.29,15.76
ALLSKY_SFC_SW_DWN,2018,13.6,16.47,19.08,17.68,15.66,16.29,16.62,16.78,15.44,15.88,15.86,13.63,16.08
ALLSKY_SFC_SW_DWN,2019,15.99,16.06,18.81,19.4,18.75,15.62,14.93,18.04,17.07,15.01,15.18,12.78,16.47
ALLSKY_SFC_SW_DWN,2020,12.1,16.33,19.96,19.29,17.48,15.46,14.44,17.18,13.7,15.27,15.84,13.83,15.9
ALLSKY_SFC_SW_DWN,2021,13.34,17.26,19.36,21.64,18.87,15.02,15.51,14.56,18.63,15.95,15.75,13.14,16.57
ALLSKY_SFC_SW_DWN,2022,13.13,16.48,19.82,18.55,16.4,11.75,18.7,17.9,15.32,15.7,16.46,13.5,16.15
ALLSKY_SFC_SW_DWN,2023,14.48,16.9,17.16,21.74,19.6,14.3,18.3,13.76,17.65,15.31,15.29,12.76,16.43
ALLSKY_SFC_SW_DWN,2024,11.97,15.48,18.64,19.9,18.08,12.54,17.64,14.17,16.49,13.13,15.94,13.42,15.61
ALLSKY_SFC_SW_DWN,2025,13.33,16.64,18.61,18.21,16.4,17.45,16.25,15.15,16.1,16.35,15.52,-999,-999
GWETROOT,2011,0.56,0.47,0.4,0.44,0.57,0.75,0.85,0.92,0.9,0.76,0.58,0.48,0.64
GWETROOT,2012,0.43,0.38,0.37,0.51,0.64,0.83,0.89,0.91,0.92,0.87,0.7,0.57,0.67
GWETROOT,2013,0.51,0.44,0.38,0.38,0.8,0.88,0.9,0.9,0.89,0.9,0.76,0.61,0.7
GWETROOT,2014,0.51,0.45,0.4,0.41,0.54,0.8,0.89,0.9,0.94,0.87,0.69,0.56,0.66
GWETROOT,2015,0.49,0.44,0.4,0.62,0.79,0.92,0.95,0.95,0.95,0.86,0.67,0.55,0.72
GWETROOT,2016,0.5,0.49,0.46,0.73,0.88,0.94,0.97,0.95,0.96,0.93,0.87,0.72,0.78
GWETROOT,2017,0.59,0.51,0.58,0.9,0.96,0.99,0.98,0.98,0.98,0.96,0.87,0.83,0.85
GWETROOT,2018,0.76,0.63,0.54,0.64,0.95,0.98,0.95,0.95,0.93,0.86,0.71,0.6,0.79
GWETROOT,2019,0.52,0.46,0.48,0.58,0.76,0.97,0.98,0.95,0.94,0.95,0.88,0.74,0.77
GWETROOT,2020,0.66,0.55,0.47,0.51,0.82,0.98,0.97,0.93,0.96,0.96,0.87,0.72,0.78
GWETROOT,2021,0.61,0.51,0.47,0.52,0.69,0.89,0.95,0.96,0.94,0.9,0.76,0.68,0.74
GWETROOT,2022,0.59,0.55,0.46,0.6,0.81,0.97,0.92,0.91,0.94,0.93,0.81,0.65,0.76
GWETROOT,2023,0.55,0.47,0.46,0.59,0.6,0.83,0.95,0.95,0.93,0.93,0.81,0.73,0.73
GWETROOT,2024,0.62,0.53,0.49,0.58,0.72,0.97,0.95,0.96,0.92,0.95,0.85,0.69,0.77
