PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.92,17.15,18.86,20.5,19.36,15.72,16.94,14.04,16.21,17.87,14.92,11.66,16.33
ALLSKY_SFC_SW_DWN,2012,12.23,17.79,19.97,20.63,21.05,16.02,16.28,16.68,16.19,17.13,13.98,11.44,16.61
ALLSKY_SFC_SW_DWN,2013,13.92,17.49,20.07,20.54,15.72,18.15,17.75,15.98,15.82,13.73,16.62,12.54,16.51
ALLSKY_SFC_SW_DWN,2014,12.25,16.2,20.42,22.25,19.85,15.12,16.6,15.48,17.36,17.03,14.98,11.78,16.61
ALLSKY_SFC_SW_DWN,2015,12.69,15.82,20.49,18.65,19.83,15.91,14.1,15.62,16.47,16.99,15.27,10.78,16.05
ALLSKY_SFC_SW_DWN,2016,11.77,14.62,17.61,20.44,18.78,18.69,15.17,17.59,16.39,17.12,15.27,13.33,16.39
ALLSKY_SFC_SW_DWN,2017,14.49,16.59,17.22,18.81,20.73,17.02,13.87,16.2,15.29,14.38,14.79,12.77,16
ALLSKY_SFC_SW_DWN,2018,12.94,15.57,18.81,19.66,17.16,17.63,15.37,16.97,16.94,15.59,14.81,13.09,16.21
ALLSKY_SFC_SW_DWN,2019,14.72,16.08,18.88,20.2,20.58,18.21,16.5,16.75,15.01,15.21,14.42,11.64,16.52
ALLSKY_SFC_SW_DWN,2020,11.6,14.88,19.14,18.9,18.41,16.78,16.06,15.8,15.25,15,15.14,11.63,15.71
ALLSKY_SFC_SW_DWN,2021,11.6,16.3,18.71,21.19,19.07,15.08,15.57,15.23,16.19,15.91,14.33,12.04,15.92
ALLSKY_SFC_SW_DWN,2022,12.06,15.57,20.02,19.23,18.06,15.8,18.7,17.78,15.31,16.66,15.94,12.23,16.45
ALLSKY_SFC_SW_DWN,2023,11.54,16.04,16.43,21.19,20.63,16.3,19.09,14.31,15.34,15.36,14.4,11.67,16.02
ALLSKY_SFC_SW_DWN,2024,10.64,14.43,17.77,20.56,18.93,16.79,16.56,14.31,15.55,12.52,14.96,12.61,15.46
ALLSKY_SFC_SW_DWN,2025,11.83,14.93,18.69,18.5,17.78,17.55,13.69,15.08,16.44,15.83,15.59,-999,-999
GWETROOT,2011,0.6,0.51,0.45,0.46,0.56,0.66,0.88,0.96,0.95,0.83,0.64,0.54,0.67
GWETROOT,2012,0.52,0.47,0.44,0.49,0.47,0.5,0.65,0.77,0.86,0.8,0.7,0.59,0.61
GWETROOT,2013,0.52,0.46,0.44,0.44,0.55,0.74,0.8,0.87,0.92,0.97,0.85,0.69,0.69
GWETROOT,2014,0.58,0.51,0.46,0.44,0.46,0.67,0.89,0.9,0.92,0.84,0.66,0.55,0.66
GWETROOT,2015,0.5,0.47,0.46,0.53,0.56,0.64,0.95,0.97,0.97,0.88,0.68,0.56,0.68
GWETROOT,2016,0.5,0.47,0.46,0.49,0.59,0.79,0.94,0.99,0.96,0.92,0.84,0.7,0.72
GWETROOT,2017,0.58,0.5,0.5,0.57,0.78,0.93,0.99,0.99,0.99,0.99,0.89,0.83,0.8
GWETROOT,2018,0.73,0.61,0.5,0.62,0.8,0.92,0.97,0.97,0.93,0.8,0.63,0.55,0.75
GWETROOT,2019,0.5,0.46,0.52,0.48,0.57,0.8,0.9,0.98,0.97,0.97,0.94,0.82,0.74
GWETROOT,2020,0.77,0.64,0.59,0.55,0.79,0.96,0.98,0.98,0.98,0.98,0.88,0.75,0.82
GWETROOT,2021,0.64,0.54,0.46,0.44,0.57,0.86,0.97,0.99,0.98,0.97,0.87,0.83,0.76
GWETROOT,2022,0.74,0.67,0.55,0.46,0.62,0.75,0.73,0.77,0.9,0.94,0.82,0.68,0.72
GWETROOT,2023,0.58,0.5,0.47,0.53,0.63,0.7,0.87,0.91,0.96,0.94,0.79,0.74,0.72
GWETROOT,2024,0.67,0.61,0.54,0.48,0.57,0.74,0.85,0.97,0.99,0.98,0.88,0.73,0.75
GWETROOT,2025,0.61,0.52,0.45,0.5,0.63,0.91,0.98,0.99,0.97,0.95,0.84,0.69,0.75
PRECTOTCORR,2011,0.03,0.01,0.99,2.51,6.35,9.68,7.8,14.25,7.37,0.67,0.04,0.47,4.21
PRECTOTCORR,2012,0.84,0.17,0.19,3.45,1.94,4.1,8.83,5.98,6.84,1.77,2.61,0.15,3.08
PRECTOTCORR,2013,0.07,0.31,0.59,1.29,9.41,7.16,6.24,7.87,7.37,6.16,0,0.01,3.9
PRECTOTCORR,2014,0.01,0.77,0.61,0.54,4.7,10.77,7.84,8.74,6.16,1.89,0,0.01,3.52
PRECTOTCORR,2015,0.32,1.45,0.92,4.77,3.8,11.64,17.99,7.19,7.21,1.87,0.02,0.07,4.79
PRECTOTCORR,2016,0.31,1.43,1.46,1.78,11.14,6.73,16.66,20.81,8.29,4.1,1.66,0,6.24
PRECTOTCORR,2017,0.01,0.03,3.18,8.55,9.1,12.2,26.03,16.32,10.36,15.03,0.87,2.79,8.78
PRECTOTCORR,2018,0,0.55,0.97,10.76,9.54,9.52,18.47,6.57,5.17,1.74,0.14,0.79,5.38
