PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,11.81,16.57,18.99,20.43,19.17,17.37,16.14,16.34,16.62,17.88,14.85,11.56,16.47
ALLSKY_SFC_SW_DWN,2012,12,17.47,20.66,20.68,20.62,15.13,15.71,17.75,15.07,17.82,15.02,10.7,16.55
ALLSKY_SFC_SW_DWN,2013,14.03,17.38,20.41,19.51,16.88,18.2,17.87,16.2,17.46,14.54,16.09,12.33,16.72
ALLSKY_SFC_SW_DWN,2014,12.17,15.35,19.84,23.06,19.92,15.49,17.28,15.01,15.6,17.91,14.93,12.23,16.57
ALLSKY_SFC_SW_DWN,2015,12.45,15.51,19.03,17.85,18.53,15.74,16.64,14.66,16.31,17.82,15.24,12.13,15.99
ALLSKY_SFC_SW_DWN,2016,11.76,15.6,18.23,19.77,17.05,17.54,14.63,19.09,15.38,17.01,16.03,13.91,16.33
ALLSKY_SFC_SW_DWN,2017,14.22,16.13,16.56,17.01,19.37,17.56,15.52,15.35,14.64,14.31,15.47,13.15,15.77
ALLSKY_SFC_SW_DWN,2018,12.01,15.27,18.55,17.87,17.37,16.78,16.69,17.52,16.04,16.62,15.12,13.54,16.12
ALLSKY_SFC_SW_DWN,2019,14.72,15.07,19.59,19.52,18.41,17.76,15.05,18.49,13.94,14.74,14.45,11.8,16.13
ALLSKY_SFC_SW_DWN,2020,11.23,14.5,19.14,19.67,17.36,16.24,12.66,16.99,11.62,15.87,15.39,12.3,15.25
ALLSKY_SFC_SW_DWN,2021,10.95,16.21,18.66,21.24,16.54,16.3,15.91,14.71,17.39,14.93,15.02,13.14,15.9
ALLSKY_SFC_SW_DWN,2022,11.96,14.7,19.18,16.22,17.03,13.32,18.32,17.48,14.8,16.16,16.27,12,15.63
ALLSKY_SFC_SW_DWN,2023,12.37,15.37,17.36,21.45,20.81,16.84,17.14,14.46,15.87,15.23,15.77,12.4,16.25
ALLSKY_SFC_SW_DWN,2024,9.94,14.83,17.55,21.38,18.05,14.5,16.82,16.17,15.92,12.57,15.27,12.69,15.46
ALLSKY_SFC_SW_DWN,2025,10.79,14.97,18.61,18.28,17.14,19.14,16.67,15.26,15.79,15.23,15.12,-999,-999
GWETROOT,2011,0.5,0.45,0.42,0.43,0.5,0.55,0.68,0.87,0.88,0.81,0.65,0.55,0.61
GWETROOT,2012,0.5,0.45,0.41,0.44,0.42,0.48,0.69,0.71,0.79,0.77,0.65,0.56,0.57
GWETROOT,2013,0.5,0.45,0.41,0.43,0.47,0.6,0.7,0.75,0.78,0.84,0.76,0.64,0.61
GWETROOT,2014,0.55,0.5,0.44,0.41,0.44,0.6,0.77,0.79,0.86,0.79,0.64,0.55,0.61
GWETROOT,2015,0.5,0.45,0.42,0.47,0.53,0.62,0.79,0.86,0.94,0.81,0.64,0.54,0.63
GWETROOT,2016,0.49,0.46,0.42,0.43,0.51,0.57,0.82,0.85,0.9,0.93,0.79,0.67,0.65
GWETROOT,2017,0.57,0.49,0.45,0.5,0.6,0.66,0.82,0.95,0.96,0.96,0.86,0.76,0.72
GWETROOT,2018,0.66,0.56,0.48,0.5,0.69,0.74,0.8,0.87,0.86,0.73,0.58,0.51,0.67
GWETROOT,2019,0.47,0.43,0.42,0.43,0.46,0.64,0.87,0.91,0.94,0.97,0.89,0.77,0.68
GWETROOT,2020,0.7,0.6,0.54,0.51,0.66,0.89,0.97,0.96,0.95,0.96,0.82,0.71,0.77
GWETROOT,2021,0.61,0.53,0.44,0.42,0.54,0.72,0.87,0.93,0.94,0.92,0.83,0.72,0.71
GWETROOT,2022,0.64,0.61,0.5,0.45,0.56,0.68,0.65,0.71,0.83,0.85,0.72,0.6,0.65
GWETROOT,2023,0.53,0.47,0.44,0.45,0.49,0.57,0.78,0.81,0.89,0.94,0.78,0.69,0.65
GWETROOT,2024,0.63,0.57,0.5,0.44,0.47,0.67,0.86,0.9,0.92,0.96,0.85,0.73,0.71
GWETROOT,2025,0.63,0.54,0.46,0.46,0.55,0.73,0.82,0.96,0.95,0.93,0.86,0.74,0.72
PRECTOTCORR,2011,0.07,0.22,0.49,2.59,5.81,7.21,5.96,14.49,7.93,0.44,0.11,0.01,3.8
PRECTOTCORR,2012,0.33,0.08,0.3,2.39,2.03,5.38,9.86,4.4,8.5,1.93,1.36,0.04,3.05
PRECTOTCORR,2013,0.01,0.52,0.26,2.09,6.19,6.66,5.35,7.81,4.51,7.2,0,0,3.41
PRECTOTCORR,2014,0.01,0.97,0.14,0.61,5.61,8.49,6.93,8.4,7.64,0.95,0,0,3.32
PRECTOTCORR,2015,0.45,0.52,0.97,4.29,5.99,9.48,8.05,10.16,7.05,0.66,0.04,0.02,3.99
PRECTOTCORR,2016,0.68,0.11,0.97,1.36,8.09,4.53,15.16,5.69,10.84,4.73,0.02,0.09,4.38
PRECTOTCORR,2017,0.1,0,2.28,5.9,6.51,7.58,12.91,14.78,6.82,7.64,0.14,0.64,5.49
PRECTOTCORR,2018,0,0.71,1.17,7.14,7.8,7.54,10.9,5.62,5.69,1.28,0.01,0.4,4.04
PRECTOTCORR,2019,0,0.81,0.25,2.31,5.05,10.03,17.43,7.72,15.31,6.65,0.22,0.11,5.51
PRECTOTCORR,2020,0.83,0.28,1.9,4.8,12.54,13.97,13.2,7.48,12.64,7.39,0.03,0,6.27
PRECTOTCORR,2021,0,0,0.22,1.31,10.19,10.08,8.65,11.95,5.01,6.04,0.12,0.23,4.52
PRECTOTCORR,2022,0.64,1.84,0.12,2.45,8.82,8.2,5.54,6.75,9.02,4.25,0,0.07,3.98
PRECTOTCORR,2023,0,0.01,2.24,2.06,5.59,8.58,8.16,11.43,11.7,6.8,0.06,1.16,4.85
PRECTOTCORR,2024,1.71,0.45,1.89,0.06,6.55,9.04,11.71,10.46,13.4,5.21,0.1,0.01,5.07
PRECTOTCORR,2025,0.04,0.43,0.18,3.35,9.72,7.88,12.21,12.88,8.54,5.73,1.8,0,5.27
RH2M,2011,61.78,48.89,38.05,48.8,65.87,74.1,84.07,88.21,89.15,80.89,78.87,73.81,69.51
RH2M,2012,61.55,44.73,29.68,47.9,49.22,63.68,83.69,85.44,88.08,82.3,74.74,64.85,64.72
RH2M,2013,53.56,45.03,31.1,40.59,63.22,80.69,85.19,87.42,86.21,86.73,81.16,75.1,68.14
RH2M,2014,66.32,53.54,41.01,29.73,49.93,75.64,86.01,87.3,86.4,80.08,68.23,62.71,65.68
RH2M,2015,59.61,49.29,36.16,59.66,65.56,77.4,86.48,87.97,85.66,78.52,73.23,57.77,68.2
RH2M,2016,51.13,43.21,35.96,41.22,63,73.99,86.6,86.94,88.73,82.82,79.07,77.92,67.65
RH2M,2017,64.24,47.12,48.21,61.36,75.62,81.33,88.7,89.23,89.36,85.9,80.67,80.98,74.58
RH2M,2018,65.38,57.02,47.77,66.24,81.74,83.12,86.78,87.95,86.13,77.07,70.34,62.03,72.72
RH2M,2019,56.28,46.39,35.59,51.79,59.02,80.41,88.51,87.55,89.06,86.62,85.3,82.13,70.86
RH2M,2020,76.71,63.23,58.42,58.52,76.91,87.26,90.18,88.52,90.24,84.62,83.28,78.17,78.07
RH2M,2021,68.47,49.73,36.74,36.82,68.71,84.43,86.63,88.95,88.84,86.82,83.33,81.03,71.87
RH2M,2022,78.25,68.93,50.89,54.34,70.66,81.19,81.36,84.13,88.87,85.76,78.03,73.51,74.7
RH2M,2023,62.43,46.05,46.98,42.4,59.1,70.03,84.75,86.04,87.64,83.19,80.45,80.8,69.33
RH2M,2024,72.58,60.7,52.52,33.5,58.57,81.47,86.81,88.75,87.84,87.59,80.28,78.95,72.55
RH2M,2025,72.17,57,45.39,54.56,68.17,82.23,86.58,89.22,87.53,84.31,81.85,81.5,74.33
T2M,2011,15.27,20.67,26.84,29.52,30.77,30.45,28.94,28.24,27.71,25.96,21.32,17.43,25.28
T2M,2012,16.68,20,26.26,30.75,33.34,32.78,29.45,28.93,27.65,23.25,18.63,14.84,25.22
T2M,2013,14.43,20.33,26.91,30.49,31.34,29.89,29.31,28.42,28.24,25.41,20.47,17.23,25.22
T2M,2014,16.32,19.19,25.56,32.49,33.29,31.14,29.28,28.67,27.99,25.87,21.02,16.99,25.68
T2M,2015,17.43,21.6,27.24,28.9,31.08,30.11,28.91,28.7,28.24,26.26,23.36,18.89,25.91
T2M,2016,17.62,22.98,28.66,32.6,31.19,30.8,28.89,28.7,27.9,26.1,21.56,17.84,26.23
T2M,2017,17.12,21.57,25.41,29.46,29.62,29.88,28.54,28.52,28.12,26.3,21.37,18.44,25.37
T2M,2018,14.14,20.63,25.98,28.05,28.15,29.53,29.21,28.86,28.21,25.49,22.49,17.97,24.9
T2M,2019,17.91,21.42,26.31,30.79,32.12,30.33,29,29.03,27.82,25.17,21.92,15.9,25.66
T2M,2020,15.44,18.12,24.24,28.05,28.6,28.87,28.7,28.83,28.15,27.3,21.08,16.94,24.54
T2M,2021,16.66,20.56,27.41,31.25,29.74,29,29.01,28.47,27.82,26.22,20.36,17.49,25.35
T2M,2022,16.25,17.96,26.28,30.98,30.18,29.38,29.53,29,27.91,25.5,21.18,17.8,25.2
T2M,2023,17.12,21.54,26.3,30.19,30.67,31.53,29.65,29.13,28.58,25.91,22.1,18.3,25.93
T2M,2024,15.27,19.34,24.45,31.86,31.34,30.46,29.62,28.36,28.59,26.56,22.03,17.12,25.42
T2M,2025,17.06,20.18,25.95,29.41,30.27,29.4,28.94,28.24,28.25,26.06,20.66,16.02,25.06
