PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,14.98,18.61,19.24,20.9,18.72,15.7,16.76,15.73,16.68,18.69,17.43,12.99,17.18
ALLSKY_SFC_SW_DWN,2012,13.63,19.07,20.13,18.77,20.19,15.22,17.49,17.71,16.7,16.7,15.29,13.46,17.02
ALLSKY_SFC_SW_DWN,2013,15.89,18.97,20.85,20.52,14.36,18.9,18.23,16.62,16.38,15.18,17.73,14.04,17.28
ALLSKY_SFC_SW_DWN,2014,15.49,17.73,21.58,22.18,19.65,15.91,18.65,15.95,17.08,18.16,17.08,13.76,17.76
ALLSKY_SFC_SW_DWN,2015,14.5,17.69,20.93,18.4,18.87,15.79,13.57,15.32,15.86,16.9,16.66,12.59,16.41
ALLSKY_SFC_SW_DWN,2016,14.2,16.05,18.34,18.69,18.06,18.62,15.76,18.19,16.3,16.53,15.89,15.34,16.83
ALLSKY_SFC_SW_DWN,2017,16.84,18.52,17.58,17.69,19.94,16.23,14.96,16.17,14.83,15.8,16.45,13.99,16.57
ALLSKY_SFC_SW_DWN,2018,15.01,16.79,19.73,18.78,16.13,15.81,16.6,17.13,17.64,16.12,16.56,14.1,16.69
ALLSKY_SFC_SW_DWN,2019,16.8,16.78,19.33,20.45,19.91,17.48,15.33,18.23,16.81,15.7,15.91,13.29,17.17
ALLSKY_SFC_SW_DWN,2020,12.7,16.74,20.05,19.08,18.49,16.25,15.83,16.94,15.78,15.88,16.19,14.81,16.56
ALLSKY_SFC_SW_DWN,2021,14.15,17.97,19.34,21.84,19.57,14.57,16.17,15.84,17.87,16.37,15.85,13.75,16.93
ALLSKY_SFC_SW_DWN,2022,13.48,17.51,20.49,19.84,17.16,14.2,19.19,18.71,16.31,17.27,17.19,14.41,17.15
ALLSKY_SFC_SW_DWN,2023,14.86,17.82,17.48,22.32,19.73,15.61,19.74,13.66,17.5,15.8,15.4,12.98,16.89
ALLSKY_SFC_SW_DWN,2024,12.49,16.16,18.75,20.43,18.93,14.06,17.29,13.16,16.39,13.93,16.31,13.81,15.97
ALLSKY_SFC_SW_DWN,2025,13.76,17.03,19.56,18.81,17.88,16.98,15.9,16.25,16.98,17.07,16.39,-999,-999
GWETROOT,2011,0.66,0.56,0.48,0.49,0.6,0.76,0.91,0.96,0.95,0.85,0.72,0.61,0.71
GWETROOT,2012,0.53,0.47,0.43,0.53,0.59,0.74,0.88,0.93,0.92,0.85,0.73,0.64,0.69
GWETROOT,2013,0.56,0.48,0.44,0.43,0.67,0.77,0.87,0.91,0.93,0.91,0.8,0.69,0.71
GWETROOT,2014,0.61,0.53,0.47,0.43,0.5,0.76,0.91,0.93,0.92,0.89,0.76,0.66,0.7
GWETROOT,2015,0.58,0.51,0.46,0.51,0.55,0.66,0.92,0.96,0.96,0.93,0.79,0.69,0.71
GWETROOT,2016,0.61,0.54,0.51,0.53,0.62,0.78,0.95,0.97,0.97,0.95,0.91,0.79,0.76
GWETROOT,2017,0.69,0.59,0.67,0.78,0.9,0.99,0.98,0.98,0.99,0.96,0.87,0.82,0.85
GWETROOT,2018,0.75,0.66,0.56,0.61,0.86,0.97,0.97,0.96,0.95,0.87,0.77,0.68,0.8
GWETROOT,2019,0.6,0.53,0.54,0.54,0.58,0.76,0.95,0.97,0.96,0.95,0.89,0.79,0.76
GWETROOT,2020,0.77,0.67,0.59,0.59,0.77,0.95,0.96,0.95,0.94,0.96,0.92,0.79,0.82
GWETROOT,2021,0.7,0.6,0.51,0.45,0.5,0.76,0.94,0.97,0.95,0.93,0.83,0.79,0.75
GWETROOT,2022,0.71,0.66,0.55,0.49,0.62,0.87,0.9,0.9,0.93,0.92,0.82,0.7,0.76
GWETROOT,2023,0.63,0.54,0.51,0.57,0.54,0.73,0.87,0.95,0.96,0.92,0.83,0.77,0.74
GWETROOT,2024,0.69,0.61,0.56,0.55,0.65,0.86,0.94,0.99,0.98,0.94,0.82,0.71,0.78
GWETROOT,2025,0.62,0.54,0.47,0.5,0.67,0.94,0.97,0.97,0.95,0.93,0.81,0.69,0.76
PRECTOTCORR,2011,0.01,0.17,1.89,2.65,12.12,15.23,11.29,21.26,11.82,2.46,0,0,6.62
PRECTOTCORR,2012,0.13,0.45,0.26,9.2,6.15,15.52,16.69,11.56,6.98,2.19,1.12,0.02,5.86
PRECTOTCORR,2013,0,0.13,0.48,1.75,17.5,14.04,10.46,12.65,10.64,6.24,0,0.02,6.2
PRECTOTCORR,2014,0,0.51,1.07,0.62,9.79,23.91,10.24,16.88,11.68,3.41,0.01,0.03,6.53
PRECTOTCORR,2015,0.08,0.38,0.99,6.19,5.23,16.83,32.52,13.75,12.55,6.89,0.19,0.03,8.02
PRECTOTCORR,2016,0.04,1.52,3.18,2.3,15.62,9.37,31.72,22.87,18.75,13.1,9.75,0,10.74
PRECTOTCORR,2017,0.21,0.43,9.28,20.31,12.1,36.14,47.24,40.29,34,13.88,0.45,4.54,18.34
PRECTOTCORR,2018,0.25,0.22,0.69,12.31,18.49,31.55,34.84,14.92,12.55,4.32,0.85,0.99,11.05
PRECTOTCORR,2019,0,3.42,2.14,3.48,11.45,11.44,51.12,25.37,18.51,10.5,6.27,0.59,12.12
PRECTOTCORR,2020,4.06,0.23,1.09,10.15,16.53,20.48,18.32,14.15,17.03,15.68,3.78,0,10.15
PRECTOTCORR,2021,0.01,0,0.46,0.85,6.95,22.02,21.11,18.59,13.27,8.18,0.67,3.72,8.04
PRECTOTCORR,2022,0.71,1.51,0.24,2.49,15.38,19.55,8.62,10.96,13.67,10.32,0.16,0.57,7.04
PRECTOTCORR,2023,0.01,0,5.57,2.98,6.44,19.89,7.86,24.29,15.14,7.39,4.78,1.2,8
PRECTOTCORR,2024,0.26,1.16,4.31,1.8,17.51,17.88,15.25,44.93,17.25,10.32,0.66,0.13,11.03
