PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.24,16.55,17.91,20.08,17.67,15.67,15.51,14.37,16.36,17.47,14.5,11.19,15.78
ALLSKY_SFC_SW_DWN,2012,11.63,17.23,19.83,19.4,19.97,14.33,15.87,16.59,14.96,16.16,13.47,10.04,15.79
ALLSKY_SFC_SW_DWN,2013,13.33,17.21,19.41,19.59,14.95,17.67,17.52,14.83,16.04,14.44,16.01,11.69,16.03
ALLSKY_SFC_SW_DWN,2014,12.5,15.28,20,21.71,18.92,14.63,16.87,14.27,15.68,16.62,14.44,10.84,15.98
ALLSKY_SFC_SW_DWN,2015,12.03,15.07,19.41,17.53,17.53,15.11,14.4,13.89,15.58,16.42,14.83,10.85,15.22
ALLSKY_SFC_SW_DWN,2016,11.22,14.48,17.06,18.5,16.94,17.05,15.07,17.67,14.84,15.8,14.5,12.95,15.5
ALLSKY_SFC_SW_DWN,2017,13.85,16.39,15.51,16.4,18.48,15.2,14.66,14.55,13.56,14.71,14.76,12.37,15.03
ALLSKY_SFC_SW_DWN,2018,12.09,15.19,18.42,17.33,15.49,15.97,15.52,16.41,15.46,15.35,14.59,12.46,15.35
ALLSKY_SFC_SW_DWN,2019,14.41,15.48,18.43,18.82,18.41,15.66,14.36,17.66,15.45,14.65,13.94,10.76,15.67
ALLSKY_SFC_SW_DWN,2020,10.89,14.92,18.67,18.55,16.87,16.1,13.42,16.35,13.18,14.43,14.94,10.89,14.93
ALLSKY_SFC_SW_DWN,2021,10.95,15.96,18.35,20.48,18.13,14.44,14.75,14.01,17.36,15.36,14.68,12.01,15.52
ALLSKY_SFC_SW_DWN,2022,11.85,15.07,19.28,17.52,16.46,12.58,18.1,17.75,14.12,15.53,15.53,11.61,15.46
ALLSKY_SFC_SW_DWN,2023,11.72,15.95,16.54,21.1,19.53,14.54,18.05,13.51,16.19,14.43,14.26,11.24,15.58
ALLSKY_SFC_SW_DWN,2024,9.7,14.17,17.64,19.99,18.32,12.94,16.59,13.84,15.07,12.22,14.8,12.39,14.8
ALLSKY_SFC_SW_DWN,2025,11.45,15.08,18.27,17.5,16.88,16.99,14.84,13.99,14.82,15.18,14.75,-999,-999
GWETROOT,2011,0.54,0.46,0.39,0.42,0.55,0.68,0.78,0.91,0.9,0.75,0.57,0.48,0.62
GWETROOT,2012,0.43,0.38,0.38,0.47,0.55,0.67,0.77,0.83,0.87,0.82,0.67,0.56,0.62
GWETROOT,2013,0.49,0.42,0.37,0.36,0.66,0.74,0.83,0.85,0.83,0.86,0.73,0.58,0.64
GWETROOT,2014,0.49,0.44,0.39,0.38,0.46,0.72,0.87,0.88,0.92,0.85,0.66,0.55,0.64
GWETROOT,2015,0.48,0.43,0.39,0.55,0.65,0.81,0.93,0.93,0.94,0.84,0.64,0.53,0.68
GWETROOT,2016,0.5,0.5,0.44,0.58,0.73,0.86,0.95,0.94,0.95,0.92,0.82,0.67,0.74
GWETROOT,2017,0.55,0.47,0.55,0.81,0.95,0.98,0.98,0.98,0.98,0.96,0.88,0.82,0.83
GWETROOT,2018,0.73,0.6,0.51,0.63,0.94,0.97,0.95,0.95,0.92,0.83,0.68,0.57,0.77
GWETROOT,2019,0.51,0.45,0.46,0.51,0.69,0.96,0.98,0.94,0.92,0.94,0.89,0.75,0.75
GWETROOT,2020,0.68,0.56,0.49,0.51,0.81,0.97,0.97,0.93,0.94,0.96,0.88,0.74,0.79
GWETROOT,2021,0.62,0.52,0.44,0.46,0.67,0.9,0.94,0.95,0.92,0.91,0.78,0.7,0.74
GWETROOT,2022,0.61,0.56,0.46,0.51,0.73,0.95,0.88,0.86,0.92,0.91,0.8,0.65,0.74
GWETROOT,2023,0.56,0.48,0.46,0.54,0.6,0.79,0.93,0.93,0.93,0.93,0.79,0.72,0.72
GWETROOT,2024,0.62,0.54,0.5,0.54,0.64,0.94,0.95,0.96,0.93,0.96,0.85,0.69,0.76
GWETROOT,2025,0.58,0.49,0.41,0.45,0.69,0.94,0.93,0.96,0.94,0.92,0.82,0.66,0.73
PRECTOTCORR,2011,0.02,0.07,1.38,3.28,9.78,9.7,8.5,18.66,7.07,0.98,0.02,0,4.99
PRECTOTCORR,2012,0.41,1.16,0.39,8.31,4.99,10.23,10.5,9.24,6.89,3.06,1.49,0.27,4.74
PRECTOTCORR,2013,0,0.34,0.74,3.01,14.39,9.75,8.7,8.56,5.55,6.81,0,0.06,4.87
PRECTOTCORR,2014,0,0.92,0.75,2.54,8.34,15.69,8.21,14.42,11.77,1.5,0,0.14,5.37
PRECTOTCORR,2015,0.27,0.87,0.65,9.73,9.18,15.69,17.24,11.99,8.47,2.1,0.11,0.08,6.39
PRECTOTCORR,2016,3.58,1.11,2.6,8.45,17.49,10.59,21.6,10.51,15.9,5.25,2.34,0.04,8.32
PRECTOTCORR,2017,0.02,1.23,9.31,22.89,16.17,29.41,24.54,31.18,20.16,12.74,0.87,3.64,14.41
PRECTOTCORR,2018,0.21,1.45,2.64,16.72,22.29,18.57,17.64,11.25,10.13,3.06,0.55,0.86,8.81
PRECTOTCORR,2019,0,2.43,1.07,5.75,18.42,24.75,32.2,10.12,12.51,13.01,1.26,0.25,10.2
PRECTOTCORR,2020,1.36,0.17,1.54,9.45,23.98,19.83,19.79,9.61,17.26,14.62,0.64,0.02,9.89
PRECTOTCORR,2021,0.07,0.01,1.36,4.4,15.15,18.72,13.99,18.57,7.16,8.07,0.25,2.03,7.54
PRECTOTCORR,2022,0.81,1.56,1.08,6.79,18.77,23.12,7.66,10.31,14.78,10.23,0.1,0.24,7.97
PRECTOTCORR,2023,0.16,0.33,5.01,3.42,10.91,19.26,14.11,18.57,10.63,11.37,1.97,1.91,8.19
PRECTOTCORR,2024,0.87,1.31,3.77,3.67,16.39,31.81,14.35,22.14,11.12,13.29,0.39,0.01,9.95
PRECTOTCORR,2025,0.16,0.21,0.34,8.41,20.09,14.81,17.45,16.45,11.76,7.51,2.68,0.01,8.38
RH2M,2011,66.85,53.16,50.29,56.59,74.88,84.94,87.57,89.71,89.36,81.66,72.58,66.69,72.99
RH2M,2012,58.62,43.32,42.03,65.88,72.56,84.65,88.19,89.7,90.69,86.2,78.33,69.66,72.56
RH2M,2013,58.38,47.02,42.31,53.09,82.91,87.98,88.78,90.13,88.33,86.61,81.06,73.66,73.52
RH2M,2014,66.77,51.97,44.75,47.25,65.24,85.18,88.46,90.07,88.53,81.76,75.01,70.94,71.46
RH2M,2015,61.84,52.2,44.01,72.43,80.69,87.38,89.88,90.07,87.76,82.15,72.89,65.08,73.97
RH2M,2016,58.95,54.98,51.73,72.34,80.62,87.93,90.26,88.95,89.17,85.34,81.37,78.52,76.73
RH2M,2017,63.78,51.07,64.12,84.55,86.24,91.04,90.99,90.21,89.44,86.11,81.2,83.01,80.32
RH2M,2018,75.11,66.03,59.56,75.72,88.16,90.02,89.69,89.41,87.7,80.72,75.57,69.65,79.01
RH2M,2019,58.31,53.36,52.82,65.29,81.32,89.15,90.75,88.65,87.92,86.26,82.09,82.07,76.64
RH2M,2020,79.6,63.67,54.23,67.14,82.86,90.9,90.76,89.48,89.45,87.12,81.8,81.65,79.95
RH2M,2021,75.09,55.39,48.43,54.85,78.62,89.85,89.02,89.93,87.98,85.54,80.48,79.58,76.38
RH2M,2022,75.43,66.49,52.71,67.71,80.55,90.48,87.81,86.86,88.44,85.92,77.59,77.09,78.15
RH2M,2023,69.9,54.33,57.24,61.78,71.6,85.74,87.94,88.53,88.07,82.96,79.44,78.95,75.68
RH2M,2024,74.73,60.57,57.84,60.53,76.24,89.71,89.3,90.61,87.61,86.92,79.59,76.71,77.6
RH2M,2025,71.59,55.97,49.35,64.18,79,87.51,89.19,89.69,88.62,83.38,80.94,78.75,76.64
T2M,2011,16.46,21.35,26.5,29.06,29.46,28.67,28.4,27.83,27.66,26.4,22.39,19.44,25.32
T2M,2012,17.88,20.88,26.25,29.07,29.93,29.3,28.63,28.24,27.58,25.05,20.62,16.7,25.02
T2M,2013,15.76,21.38,26.97,30.17,28.7,28.86,28.57,27.88,27.97,26.04,22.09,19.1,25.3
T2M,2014,18.23,20.57,26.08,31.45,31.28,29.59,28.71,28.18,27.74,26.06,22.5,18.66,25.77
T2M,2015,18.95,22.06,26.68,27.67,28.85,28.61,28.19,28.24,28.04,26.47,23.63,19.56,25.59
T2M,2016,18.29,23.21,27.68,29.55,28.81,28.84,28.24,28.5,27.98,26.78,22.86,20.1,25.9
T2M,2017,18.4,22.23,24.64,26.95,28.4,28.41,28.23,28.34,28.17,26.29,22.16,19.84,25.18
T2M,2018,15.3,20.88,25.93,27.02,27.5,28.52,28.75,28.54,28.12,25.28,22.19,18.82,24.75
