PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.92,17.15,18.86,20.5,19.36,15.72,16.94,14.04,16.21,17.87,14.92,11.66,16.33
ALLSKY_SFC_SW_DWN,2012,12.23,17.79,19.97,20.63,21.05,16.02,16.28,16.68,16.19,17.13,13.98,11.44,16.61
ALLSKY_SFC_SW_DWN,2013,13.92,17.49,20.07,20.54,15.72,18.15,17.75,15.98,15.82,13.73,16.62,12.54,16.51
ALLSKY_SFC_SW_DWN,2014,12.25,16.2,20.42,22.25,19.85,15.12,16.6,15.48,17.36,17.03,14.98,11.78,16.61
ALLSKY_SFC_SW_DWN,2015,12.69,15.82,20.49,18.65,19.83,15.91,14.1,15.62,16.47,16.99,15.27,10.78,16.05
ALLSKY_SFC_SW_DWN,2016,11.77,14.62,17.61,20.44,18.78,18.69,15.17,17.59,16.39,17.12,15.27,13.33,16.39
ALLSKY_SFC_SW_DWN,2017,14.49,16.59,17.22,18.81,20.73,17.02,13.87,16.2,15.29,14.38,14.79,12.77,16
ALLSKY_SFC_SW_DWN,2018,12.94,15.57,18.81,19.66,17.16,17.63,15.37,16.97,16.94,15.59,14.81,13.09,16.21
ALLSKY_SFC_SW_DWN,2019,14.72,16.08,18.88,20.2,20.58,18.21,16.5,16.75,15.01,15.21,14.42,11.64,16.52
ALLSKY_SFC_SW_DWN,2020,11.6,14.88,19.14,18.9,18.41,16.78,16.06,15.8,15.25,15,15.14,11.63,15.71
ALLSKY_SFC_SW_DWN,2021,11.6,16.3,18.71,21.19,19.07,15.08,15.57,15.23,16.19,15.91,14.33,12.04,15.92
ALLSKY_SFC_SW_DWN,2022,12.06,15.57,20.02,19.23,18.06,15.8,18.7,17.78,15.31,16.66,15.94,12.23,16.45
ALLSKY_SFC_SW_DWN,2023,11.54,16.04,16.43,21.19,20.63,16.3,19.09,14.31,15.34,15.36,14.4,11.67,16.02
ALLSKY_SFC_SW_DWN,2024,10.64,14.43,17.77,20.56,18.93,16.79,16.56,14.31,15.55,12.52,14.96,12.61,15.46
ALLSKY_SFC_SW_DWN,2025,11.83,14.93,18.69,18.5,17.78,17.55,13.69,15.08,16.44,15.83,15.59,-999,-999
GWETROOT,2011,0.51,0.45,0.42,0.44,0.52,0.59,0.79,0.91,0.92,0.81,0.63,0.52,0.63
GWETROOT,2012,0.49,0.44,0.41,0.45,0.42,0.45,0.61,0.71,0.77,0.72,0.63,0.54,0.55
GWETROOT,2013,0.49,0.44,0.42,0.42,0.47,0.62,0.68,0.74,0.82,0.88,0.79,0.64,0.62
GWETROOT,2014,0.55,0.48,0.44,0.42,0.44,0.59,0.76,0.78,0.84,0.77,0.6,0.51,0.6
GWETROOT,2015,0.47,0.44,0.42,0.49,0.52,0.58,0.86,0.92,0.92,0.79,0.62,0.51,0.63
GWETROOT,2016,0.47,0.45,0.43,0.46,0.5,0.58,0.79,0.91,0.93,0.89,0.75,0.61,0.65
GWETROOT,2017,0.53,0.46,0.44,0.49,0.65,0.7,0.85,0.96,0.95,0.96,0.85,0.77,0.72
GWETROOT,2018,0.67,0.56,0.47,0.55,0.66,0.7,0.8,0.89,0.86,0.73,0.57,0.51,0.66
GWETROOT,2019,0.47,0.43,0.45,0.43,0.5,0.67,0.79,0.86,0.88,0.94,0.88,0.76,0.67
GWETROOT,2020,0.69,0.58,0.54,0.48,0.63,0.82,0.93,0.94,0.93,0.96,0.82,0.69,0.75
GWETROOT,2021,0.59,0.5,0.43,0.42,0.55,0.75,0.9,0.95,0.94,0.92,0.82,0.74,0.71
GWETROOT,2022,0.65,0.6,0.5,0.43,0.55,0.6,0.57,0.63,0.79,0.81,0.68,0.56,0.61
GWETROOT,2023,0.5,0.44,0.43,0.46,0.53,0.56,0.7,0.71,0.81,0.88,0.7,0.65,0.62
GWETROOT,2024,0.6,0.55,0.49,0.43,0.48,0.62,0.72,0.86,0.94,0.97,0.86,0.72,0.69
GWETROOT,2025,0.61,0.52,0.44,0.47,0.54,0.7,0.86,0.95,0.94,0.91,0.79,0.66,0.7
PRECTOTCORR,2011,0.06,0.04,0.82,2.74,5.67,9.41,6.25,13.87,7.41,0.65,0.06,0.19,3.95
PRECTOTCORR,2012,0.69,0.08,0.42,2.48,1.45,3.6,8.95,5.05,6.31,1.95,2.43,0.21,2.81
PRECTOTCORR,2013,0.05,0.47,0.57,1.46,6.64,6.41,4.9,7.42,5.84,6.88,0,0,3.41
PRECTOTCORR,2014,0.02,0.93,0.6,0.62,4.32,8.27,6.85,9.14,5.74,1.77,0,0.02,3.2
PRECTOTCORR,2015,0.3,1.04,1.08,4.28,4.28,9.77,14.09,6.05,6.17,1.27,0.05,0.05,4.05
PRECTOTCORR,2016,0.68,0.89,1.23,1.88,6.79,4.5,13.58,13.77,8.79,3.22,0.29,0,4.66
PRECTOTCORR,2017,0.04,0,1.74,6.62,7.43,6.83,17.65,10.76,7.44,9.42,0.6,1.79,5.91
PRECTOTCORR,2018,0,0.64,0.83,8.8,5.89,6.36,14.3,5.29,4.85,1.73,0.02,0.75,4.14
