PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,11.81,16.57,18.99,20.43,19.17,17.37,16.14,16.34,16.62,17.88,14.85,11.56,16.47
ALLSKY_SFC_SW_DWN,2012,12,17.47,20.66,20.68,20.62,15.13,15.71,17.75,15.07,17.82,15.02,10.7,16.55
ALLSKY_SFC_SW_DWN,2013,14.03,17.38,20.41,19.51,16.88,18.2,17.87,16.2,17.46,14.54,16.09,12.33,16.72
ALLSKY_SFC_SW_DWN,2014,12.17,15.35,19.84,23.06,19.92,15.49,17.28,15.01,15.6,17.91,14.93,12.23,16.57
ALLSKY_SFC_SW_DWN,2015,12.45,15.51,19.03,17.85,18.53,15.74,16.64,14.66,16.31,17.82,15.24,12.13,15.99
ALLSKY_SFC_SW_DWN,2016,11.76,15.6,18.23,19.77,17.05,17.54,14.63,19.09,15.38,17.01,16.03,13.91,16.33
ALLSKY_SFC_SW_DWN,2017,14.22,16.13,16.56,17.01,19.37,17.56,15.52,15.35,14.64,14.31,15.47,13.15,15.77
ALLSKY_SFC_SW_DWN,2018,12.01,15.27,18.55,17.87,17.37,16.78,16.69,17.52,16.04,16.62,15.12,13.54,16.12
ALLSKY_SFC_SW_DWN,2019,14.72,15.07,19.59,19.52,18.41,17.76,15.05,18.49,13.94,14.74,14.45,11.8,16.13
ALLSKY_SFC_SW_DWN,2020,11.23,14.5,19.14,19.67,17.36,16.24,12.66,16.99,11.62,15.87,15.39,12.3,15.25
ALLSKY_SFC_SW_DWN,2021,10.95,16.21,18.66,21.24,16.54,16.3,15.91,14.71,17.39,14.93,15.02,13.14,15.9
ALLSKY_SFC_SW_DWN,2022,11.96,14.7,19.18,16.22,17.03,13.32,18.32,17.48,14.8,16.16,16.27,12,15.63
ALLSKY_SFC_SW_DWN,2023,12.37,15.37,17.36,21.45,20.81,16.84,17.14,14.46,15.87,15.23,15.77,12.4,16.25
ALLSKY_SFC_SW_DWN,2024,9.94,14.83,17.55,21.38,18.05,14.5,16.82,16.17,15.92,12.57,15.27,12.69,15.46
ALLSKY_SFC_SW_DWN,2025,10.79,14.97,18.61,18.28,17.14,19.14,16.67,15.26,15.79,15.23,15.12,-999,-999
GWETROOT,2011,0.49,0.45,0.39,0.38,0.5,0.58,0.78,0.92,0.88,0.79,0.6,0.5,0.61
GWETROOT,2012,0.46,0.41,0.37,0.45,0.5,0.62,0.87,0.85,0.9,0.83,0.64,0.53,0.62
GWETROOT,2013,0.47,0.41,0.37,0.39,0.54,0.71,0.87,0.89,0.86,0.87,0.75,0.6,0.65
GWETROOT,2014,0.52,0.46,0.4,0.36,0.43,0.6,0.75,0.78,0.92,0.83,0.64,0.53,0.6
GWETROOT,2015,0.48,0.42,0.38,0.42,0.51,0.7,0.82,0.86,0.95,0.79,0.6,0.49,0.62
GWETROOT,2016,0.44,0.4,0.38,0.46,0.59,0.78,0.96,0.91,0.92,0.91,0.72,0.58,0.67
GWETROOT,2017,0.49,0.43,0.41,0.55,0.71,0.8,0.92,0.95,0.94,0.91,0.78,0.64,0.71
GWETROOT,2018,0.54,0.46,0.4,0.52,0.72,0.86,0.91,0.9,0.91,0.75,0.57,0.48,0.67
GWETROOT,2019,0.43,0.4,0.39,0.45,0.59,0.73,0.94,0.9,0.93,0.93,0.79,0.65,0.68
GWETROOT,2020,0.57,0.49,0.47,0.49,0.73,0.94,0.98,0.94,0.95,0.92,0.75,0.62,0.74
GWETROOT,2021,0.53,0.46,0.4,0.41,0.57,0.73,0.91,0.95,0.94,0.93,0.81,0.66,0.69
GWETROOT,2022,0.58,0.56,0.47,0.58,0.74,0.93,0.87,0.85,0.88,0.87,0.71,0.57,0.72
GWETROOT,2023,0.49,0.43,0.43,0.48,0.49,0.73,0.92,0.91,0.9,0.92,0.72,0.6,0.67
GWETROOT,2024,0.53,0.46,0.45,0.45,0.43,0.88,0.94,0.87,0.81,0.9,0.75,0.6,0.67
GWETROOT,2025,0.52,0.45,0.4,0.46,0.71,0.87,0.82,0.91,0.9,0.87,0.77,0.62,0.69
PRECTOTCORR,2011,0.08,0.6,0.42,1.8,8.47,9.95,11.28,18.96,12.01,0.29,0.18,0.04,5.37
PRECTOTCORR,2012,0.28,0.24,0.06,5.84,5.27,11.09,15.2,6.65,13.6,2.67,0.2,0,5.09
PRECTOTCORR,2013,0.05,0.57,0.16,3.03,10.87,9.79,10.1,10.9,6.41,9.69,0,0,5.17
PRECTOTCORR,2014,0,0.92,0.14,0.56,7.11,9.89,6.47,12.17,15.11,0.9,0,0,4.45
PRECTOTCORR,2015,0.55,0.4,0.73,4.51,7.03,13.86,7.48,16.98,11.86,0.73,0.02,0.03,5.36
PRECTOTCORR,2016,0.54,0.02,2.58,3.17,13.04,17.85,22.72,7.27,14.24,5.2,0,0.15,7.25
PRECTOTCORR,2017,0.1,0.06,3.26,8.73,10.88,13.33,13.96,22.36,10.61,7.23,0.04,0.09,7.61
PRECTOTCORR,2018,0,0.25,1.41,9.26,12.47,15.81,11.91,10.08,13.03,0.61,0.04,0.2,6.27
PRECTOTCORR,2019,0.01,0.81,1.35,5.08,11.19,12.91,32.13,10.36,22.06,6.1,0.22,0.02,8.57
PRECTOTCORR,2020,0.43,0.48,2.12,7.66,18.19,18.96,24.97,11.78,27.67,5.42,0.03,0.01,9.82
PRECTOTCORR,2021,0.04,0.05,1.07,2.92,10.65,13.93,13.66,18.84,8.52,12.28,0.01,0.13,6.9
PRECTOTCORR,2022,0.43,2.44,0.75,9.19,14.72,27.22,8.25,9.18,8.73,6.15,0.01,0.01,7.25
PRECTOTCORR,2023,0,0.07,3.69,2.48,6.78,21.44,13.29,16.17,14.18,6.59,0.1,0.68,7.15
PRECTOTCORR,2024,0.14,0.2,5.47,0.16,7.26,29.59,18.3,9.42,14.75,5.25,0.37,0,7.58
PRECTOTCORR,2025,0.01,0.34,0.27,7.03,17.05,11.05,9.86,16.22,11.56,7.36,1.39,0,6.89
RH2M,2011,69.77,58.32,47,48.2,67.79,76.92,86.16,87.16,87.49,81.12,78.71,75.72,72.13
RH2M,2012,65.93,51.12,34.64,52.7,62.99,78.29,87.89,86.94,89.11,83.32,76.59,68.53,69.89
RH2M,2013,56.17,46.62,35.7,41.19,69.27,83.18,87.6,88.45,86.17,85.04,79.96,77.19,69.87
RH2M,2014,68.91,55.04,41.89,30.15,54.81,78.33,85.76,88.2,87.96,81.75,74.83,71.06,68.34
RH2M,2015,63.7,51.33,40.51,55.92,69.06,83.02,86.31,89.05,88,81.37,76.37,62.08,70.66
RH2M,2016,55.53,44.77,36.98,49.78,72.97,84.67,89.17,86.87,88.66,82.94,80.11,77.22,70.89
RH2M,2017,62.24,47.77,49.16,69.57,81.62,85.47,88.86,89.06,89.09,86.4,82.67,80.66,76.22
RH2M,2018,63.97,54.76,45.98,68.92,82.35,85.61,87.18,87.3,87.37,78.92,74.47,67.03,73.75
RH2M,2019,62.31,52.24,42.18,59.66,74.96,83.74,90.13,86.02,88.3,85.68,84.72,79.89,74.28
RH2M,2020,75.53,60.14,56.66,60.9,79.63,88.06,90.75,87.99,90.48,84.28,82.47,79.3,78.09
RH2M,2021,70.13,52.23,39.72,46.04,74.09,85.89,87.1,89.75,87.43,87.24,84.69,81.68,73.99
RH2M,2022,77.58,71.5,51.86,72.75,79.57,88.62,87.27,85.57,89.64,86.02,80.41,77.59,79.05
RH2M,2023,67.76,53.24,54,50.25,60.28,78.86,86.37,87.71,86.56,83.91,79.46,78.22,72.36
RH2M,2024,67.96,55.79,52.01,41.92,58.48,87.97,87.97,87.65,84.29,88.24,83.58,80.58,73.12
RH2M,2025,72.41,59.71,47.19,58.84,77.71,83.56,85.61,87.68,85.99,83.85,83.62,79.91,75.61
T2M,2011,15,19.65,24.82,28.76,29.78,29.87,28.77,28.39,27.8,25.74,20.96,17.78,24.8
T2M,2012,15.85,19.01,25.17,28.74,30.64,30.4,28.98,28.83,27.67,23.82,18.93,14.93,24.42
T2M,2013,14.19,20.29,26.24,29.62,29.54,29.58,29.07,28.27,28.23,25.1,21.07,17.46,24.9
T2M,2014,16.66,18.7,24.94,31.48,31.86,30.63,29.43,28.65,27.85,25.81,21.21,17.62,25.43
T2M,2015,17.86,21.18,26.33,28.85,30.41,29.51,29.08,28.64,28.04,26.09,23.45,18.71,25.7
T2M,2016,17.46,22.16,27.85,30.51,29.36,29.4,28.71,28.97,27.91,26.29,22.27,19.28,25.85
T2M,2017,17.72,21.31,24.95,27.83,28.55,29.32,28.53,28.66,28.11,26.2,21.58,19.38,25.19
T2M,2018,15.16,20.49,25.9,27.18,27.7,29.29,29.21,29.01,28.12,25.31,21.95,18.41,24.83
T2M,2019,17.88,20.46,24.72,28.55,29.03,29.73,28.85,29.45,27.81,25.02,22.27,16.46,25.03
T2M,2020,15.68,18.65,24.06,27.09,27.78,28.64,28.6,29.03,28.09,27.17,21.36,17.37,24.47
T2M,2021,16.95,20.25,26.01,29.08,28.26,28.73,29.08,28.39,28.09,26.09,20.16,17.75,24.92
T2M,2022,16.78,17.36,25.87,27.24,28.5,28.4,28.94,29.05,27.69,25.43,21.49,18.39,24.64
T2M,2023,17.23,21.1,25.03,28.56,29.95,30.23,29.51,29.06,28.63,25.48,22.03,19.07,25.51
T2M,2024,16.32,19.18,23.83,29.72,30.79,29.39,29.61,28.59,29.17,25.82,21.5,17.08,25.09
T2M,2025,17.28,19.33,25.01,28.05,28.04,29.3,29.19,28.55,28.53,25.95,21.14,17.32,24.83
