PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.77,17.12,18.51,20.05,18.58,14.97,16.42,14.31,16.02,17.3,15.07,11.58,16.04
ALLSKY_SFC_SW_DWN,2012,12.02,17.65,19.74,19.48,19.97,15.33,17.42,16.96,15.06,16.49,13.93,11.18,16.26
ALLSKY_SFC_SW_DWN,2013,13.76,17.84,19.78,19.78,14.43,18.59,17.85,15.63,15.17,14.4,16.57,12.42,16.33
ALLSKY_SFC_SW_DWN,2014,12.85,16.14,20.53,21.89,19.5,15.03,17.37,14.94,16.87,17.09,14.72,11.4,16.53
ALLSKY_SFC_SW_DWN,2015,12.56,15.68,20.39,18.31,19.16,15.67,12.59,14.66,15.1,16.08,14.94,10.72,15.48
ALLSKY_SFC_SW_DWN,2016,11.65,14.4,17.06,19.46,17.47,18.92,15.24,17.31,15.49,16.07,14.82,13.46,15.94
ALLSKY_SFC_SW_DWN,2017,14.49,16.48,16.67,17.58,19.59,16.09,14.37,15.52,14.15,14.72,15.05,12.59,15.6
ALLSKY_SFC_SW_DWN,2018,12.68,15.25,18.66,18.85,15.83,16.13,15.83,16.81,16.56,15.22,14.86,12.6,15.77
ALLSKY_SFC_SW_DWN,2019,14.78,15.76,18.7,19.82,20.24,16.53,14.96,17.07,15.3,15.01,14.11,11.1,16.11
ALLSKY_SFC_SW_DWN,2020,10.96,15.13,19.1,18.42,18.36,16.39,15.51,15.85,15.13,15.02,15.19,11.59,15.55
ALLSKY_SFC_SW_DWN,2021,11.56,16.14,18.3,21.12,19.45,13.69,15.42,15.48,16.49,15.48,14.5,12.08,15.8
ALLSKY_SFC_SW_DWN,2022,11.95,15.74,19.92,19.15,17.42,14.55,18.66,18.07,14.79,16.22,15.73,12.16,16.2
ALLSKY_SFC_SW_DWN,2023,11.65,16.29,16.64,21.58,19.76,14.89,19.25,13.36,15.87,15.09,14.2,11.5,15.83
ALLSKY_SFC_SW_DWN,2024,10.54,14.56,17.92,20.38,18.86,15.03,16.63,13.36,14.79,12.98,14.88,12.58,15.2
ALLSKY_SFC_SW_DWN,2025,11.6,15.19,18.85,18.02,17.41,16.94,14.16,15.57,15.6,15.69,15.52,-999,-999
GWETROOT,2011,0.6,0.5,0.43,0.44,0.55,0.71,0.92,0.97,0.97,0.85,0.66,0.53,0.68
GWETROOT,2012,0.49,0.44,0.4,0.48,0.48,0.52,0.7,0.85,0.93,0.86,0.73,0.6,0.62
GWETROOT,2013,0.51,0.45,0.4,0.41,0.63,0.88,0.91,0.95,0.96,0.97,0.85,0.68,0.72
GWETROOT,2014,0.56,0.48,0.43,0.4,0.44,0.7,0.92,0.94,0.93,0.86,0.67,0.55,0.66
