PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.92,17.15,18.86,20.5,19.36,15.72,16.94,14.04,16.21,17.87,14.92,11.66,16.33
ALLSKY_SFC_SW_DWN,2012,12.23,17.79,19.97,20.63,21.05,16.02,16.28,16.68,16.19,17.13,13.98,11.44,16.61
ALLSKY_SFC_SW_DWN,2013,13.92,17.49,20.07,20.54,15.72,18.15,17.75,15.98,15.82,13.73,16.62,12.54,16.51
ALLSKY_SFC_SW_DWN,2014,12.25,16.2,20.42,22.25,19.85,15.12,16.6,15.48,17.36,17.03,14.98,11.78,16.61
ALLSKY_SFC_SW_DWN,2015,12.69,15.82,20.49,18.65,19.83,15.91,14.1,15.62,16.47,16.99,15.27,10.78,16.05
ALLSKY_SFC_SW_DWN,2016,11.77,14.62,17.61,20.44,18.78,18.69,15.17,17.59,16.39,17.12,15.27,13.33,16.39
ALLSKY_SFC_SW_DWN,2017,14.49,16.59,17.22,18.81,20.73,17.02,13.87,16.2,15.29,14.38,14.79,12.77,16
ALLSKY_SFC_SW_DWN,2018,12.94,15.57,18.81,19.66,17.16,17.63,15.37,16.97,16.94,15.59,14.81,13.09,16.21
ALLSKY_SFC_SW_DWN,2019,14.72,16.08,18.88,20.2,20.58,18.21,16.5,16.75,15.01,15.21,14.42,11.64,16.52
ALLSKY_SFC_SW_DWN,2020,11.6,14.88,19.14,18.9,18.41,16.78,16.06,15.8,15.25,15,15.14,11.63,15.71
ALLSKY_SFC_SW_DWN,2021,11.6,16.3,18.71,21.19,19.07,15.08,15.57,15.23,16.19,15.91,14.33,12.04,15.92
ALLSKY_SFC_SW_DWN,2022,12.06,15.57,20.02,19.23,18.06,15.8,18.7,17.78,15.31,16.66,15.94,12.23,16.45
ALLSKY_SFC_SW_DWN,2023,11.54,16.04,16.43,21.19,20.63,16.3,19.09,14.31,15.34,15.36,14.4,11.67,16.02
ALLSKY_SFC_SW_DWN,2024,10.64,14.43,17.77,20.56,18.93,16.79,16.56,14.31,15.55,12.52,14.96,12.61,15.46
ALLSKY_SFC_SW_DWN,2025,11.83,14.93,18.69,18.5,17.78,17.55,13.69,15.08,16.44,15.83,15.59,-999,-999
GWETROOT,2011,0.61,0.53,0.48,0.49,0.58,0.7,0.92,0.97,0.97,0.85,0.66,0.56,0.69
GWETROOT,2012,0.55,0.5,0.46,0.51,0.49,0.52,0.7,0.84,0.92,0.84,0.72,0.61,0.64
GWETROOT,2013,0.54,0.49,0.47,0.47,0.61,0.81,0.86,0.93,0.96,0.98,0.87,0.7,0.73
GWETROOT,2014,0.59,0.53,0.49,0.46,0.49,0.68,0.91,0.94,0.93,0.84,0.65,0.55,0.67
GWETROOT,2015,0.52,0.5,0.49,0.55,0.56,0.64,0.96,0.97,0.97,0.9,0.71,0.59,0.7
GWETROOT,2016,0.52,0.5,0.5,0.5,0.64,0.87,0.98,0.99,0.96,0.92,0.88,0.73,0.75
GWETROOT,2017,0.61,0.52,0.55,0.57,0.73,0.93,0.99,1,0.99,0.99,0.89,0.83,0.8
GWETROOT,2018,0.73,0.61,0.51,0.6,0.74,0.91,0.98,0.97,0.95,0.84,0.66,0.57,0.76
GWETROOT,2019,0.52,0.49,0.58,0.52,0.59,0.77,0.88,0.98,0.98,0.98,0.95,0.83,0.76
GWETROOT,2020,0.78,0.65,0.61,0.59,0.83,0.97,0.98,0.99,0.98,0.98,0.89,0.74,0.83
GWETROOT,2021,0.64,0.55,0.48,0.46,0.56,0.85,0.98,0.99,0.98,0.98,0.86,0.84,0.77
GWETROOT,2022,0.74,0.68,0.57,0.48,0.61,0.73,0.75,0.81,0.91,0.95,0.85,0.7,0.73
GWETROOT,2023,0.6,0.52,0.5,0.57,0.63,0.71,0.89,0.94,0.97,0.94,0.79,0.75,0.74
GWETROOT,2024,0.66,0.62,0.55,0.5,0.61,0.75,0.86,0.98,0.99,0.98,0.88,0.73,0.76
GWETROOT,2025,0.61,0.53,0.48,0.52,0.66,0.93,0.99,0.99,0.97,0.95,0.82,0.67,0.76
PRECTOTCORR,2011,0.01,0.02,1.04,2.22,6.22,10.79,8.88,14.99,8.46,0.88,0.05,0.47,4.53
PRECTOTCORR,2012,1.05,0.27,0.2,3.13,1.71,4.3,9.44,7.28,8.24,1.66,2.42,0.18,3.33
PRECTOTCORR,2013,0.09,0.27,0.46,1.32,11.02,7.73,7.85,9.53,9.22,7.3,0,0.01,4.6
PRECTOTCORR,2014,0,0.73,0.54,0.22,4.68,10.26,9.06,8.32,6.64,1.82,0,0.02,3.54
PRECTOTCORR,2015,0.65,1.39,0.96,4.44,2.8,11.66,21.21,8.04,8.54,2.28,0.05,0.11,5.2
PRECTOTCORR,2016,0.14,1.99,1.03,1.21,13.34,8.3,18.64,25.89,8.4,5.2,2.56,0.01,7.28
PRECTOTCORR,2017,0,0.04,3.73,6.38,7.94,14.31,31.11,16.64,10.72,18.56,1,2.97,9.54
PRECTOTCORR,2018,0,0.21,0.45,8.14,8.92,12.44,18.64,8.22,5.87,2.09,0.11,0.74,5.52
