PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,11.86,16.29,19.36,20.08,19.96,15.9,17.1,14.62,15.76,16.62,13.65,10.91,16
ALLSKY_SFC_SW_DWN,2012,11.24,17.35,20.49,21.11,22.01,16.76,15.78,17.27,15.87,17.28,13.2,10.24,16.54
ALLSKY_SFC_SW_DWN,2013,12.82,16.72,20.28,20.82,16.37,17.68,17.98,16.01,16.62,13.57,15.05,11.24,16.25
ALLSKY_SFC_SW_DWN,2014,11.59,14.74,19.76,22.81,21.2,15.92,16.46,15.27,16.51,16.11,14.09,11.1,16.3
ALLSKY_SFC_SW_DWN,2015,11.83,15.06,19.25,18.51,19.61,17.08,15.08,15.08,17.13,16.29,14,9.47,15.69
ALLSKY_SFC_SW_DWN,2016,10.57,14.74,17.56,21.43,18.52,19.53,14.97,17.89,15.56,16.66,14.14,12,16.12
ALLSKY_SFC_SW_DWN,2017,13.12,15.8,16.89,19.21,20.04,18.65,13.8,15.96,14.62,13.91,14.49,11.73,15.67
ALLSKY_SFC_SW_DWN,2018,12.07,15.44,19.19,19.51,17.18,18.11,15.41,16.89,16.14,15.77,13.88,11.48,15.92
ALLSKY_SFC_SW_DWN,2019,13.23,15.56,19.37,19.22,20.5,18.93,16.19,16.74,14.05,13.83,13.4,10.51,15.96
ALLSKY_SFC_SW_DWN,2020,11.28,14.74,18.12,18.57,17.47,16.66,14.15,16.17,13.71,15.29,14.37,10.1,15.05
ALLSKY_SFC_SW_DWN,2021,10.39,16.05,18.6,20.91,17.83,15.72,16.2,14.83,15.71,14.73,13.58,11.27,15.47
ALLSKY_SFC_SW_DWN,2022,11.1,14.93,19.94,19.24,18.51,16.4,18.95,16.66,14.43,16.21,14.6,11.34,16.03
ALLSKY_SFC_SW_DWN,2023,10.75,16.59,16.8,21.29,21.07,18.37,18.13,14.49,14.69,14.9,13.49,11.05,15.95
ALLSKY_SFC_SW_DWN,2024,9.44,14,17.64,20.89,18.6,17.27,17.02,15.08,15.28,12.72,13.54,11.61,15.25
ALLSKY_SFC_SW_DWN,2025,11.5,15.62,18.91,18.05,17.82,18.11,14.13,14.66,15.72,14.84,13.82,-999,-999
GWETROOT,2011,0.48,0.43,0.41,0.43,0.5,0.55,0.7,0.87,0.89,0.8,0.63,0.53,0.6
GWETROOT,2012,0.49,0.44,0.41,0.43,0.41,0.44,0.61,0.67,0.74,0.71,0.62,0.53,0.54
GWETROOT,2013,0.48,0.43,0.41,0.42,0.46,0.58,0.65,0.69,0.75,0.82,0.74,0.61,0.59
GWETROOT,2014,0.53,0.48,0.43,0.41,0.43,0.59,0.75,0.76,0.82,0.76,0.61,0.52,0.59
GWETROOT,2015,0.48,0.44,0.41,0.48,0.52,0.59,0.81,0.88,0.91,0.79,0.62,0.52,0.62
GWETROOT,2016,0.48,0.46,0.42,0.44,0.48,0.54,0.77,0.85,0.89,0.9,0.77,0.64,0.64
GWETROOT,2017,0.55,0.47,0.44,0.49,0.61,0.65,0.8,0.94,0.95,0.95,0.85,0.77,0.71
GWETROOT,2018,0.67,0.57,0.48,0.52,0.67,0.7,0.77,0.86,0.83,0.71,0.56,0.5,0.65
GWETROOT,2019,0.46,0.43,0.42,0.42,0.48,0.66,0.82,0.87,0.89,0.95,0.89,0.77,0.67
GWETROOT,2020,0.71,0.6,0.54,0.49,0.62,0.82,0.94,0.93,0.93,0.96,0.83,0.71,0.76
GWETROOT,2021,0.61,0.52,0.44,0.41,0.53,0.72,0.88,0.93,0.93,0.9,0.81,0.71,0.7
GWETROOT,2022,0.63,0.59,0.49,0.43,0.53,0.61,0.57,0.63,0.79,0.81,0.69,0.58,0.61
GWETROOT,2023,0.51,0.45,0.43,0.45,0.51,0.55,0.71,0.73,0.83,0.9,0.75,0.68,0.63
GWETROOT,2024,0.63,0.57,0.49,0.43,0.47,0.62,0.77,0.86,0.92,0.96,0.86,0.73,0.69
GWETROOT,2025,0.63,0.53,0.45,0.45,0.52,0.68,0.81,0.94,0.94,0.92,0.83,0.71,0.7
PRECTOTCORR,2011,0.06,0.1,0.66,2.82,5.52,7.96,5.5,14.28,7.26,0.58,0.08,0.03,3.76
PRECTOTCORR,2012,0.44,0.06,0.49,2.26,1.48,3.96,8.83,4.6,6.94,1.99,2.08,0.12,2.77
PRECTOTCORR,2013,0.02,0.53,0.5,1.73,6.2,6.13,4.43,7.09,5.07,6.67,0,0,3.22
PRECTOTCORR,2014,0.02,0.95,0.35,0.78,5.17,8.43,6.75,8.8,6.23,1.29,0,0.01,3.24
PRECTOTCORR,2015,0.33,0.67,1.04,4.44,5.19,9.53,10.79,7.29,6.28,0.97,0.06,0.03,3.9
