PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.24,16.55,17.91,20.08,17.67,15.67,15.51,14.37,16.36,17.47,14.5,11.19,15.78
ALLSKY_SFC_SW_DWN,2012,11.63,17.23,19.83,19.4,19.97,14.33,15.87,16.59,14.96,16.16,13.47,10.04,15.79
ALLSKY_SFC_SW_DWN,2013,13.33,17.21,19.41,19.59,14.95,17.67,17.52,14.83,16.04,14.44,16.01,11.69,16.03
ALLSKY_SFC_SW_DWN,2014,12.5,15.28,20,21.71,18.92,14.63,16.87,14.27,15.68,16.62,14.44,10.84,15.98
ALLSKY_SFC_SW_DWN,2015,12.03,15.07,19.41,17.53,17.53,15.11,14.4,13.89,15.58,16.42,14.83,10.85,15.22
ALLSKY_SFC_SW_DWN,2016,11.22,14.48,17.06,18.5,16.94,17.05,15.07,17.67,14.84,15.8,14.5,12.95,15.5
ALLSKY_SFC_SW_DWN,2017,13.85,16.39,15.51,16.4,18.48,15.2,14.66,14.55,13.56,14.71,14.76,12.37,15.03
ALLSKY_SFC_SW_DWN,2018,12.09,15.19,18.42,17.33,15.49,15.97,15.52,16.41,15.46,15.35,14.59,12.46,15.35
ALLSKY_SFC_SW_DWN,2019,14.41,15.48,18.43,18.82,18.41,15.66,14.36,17.66,15.45,14.65,13.94,10.76,15.67
ALLSKY_SFC_SW_DWN,2020,10.89,14.92,18.67,18.55,16.87,16.1,13.42,16.35,13.18,14.43,14.94,10.89,14.93
ALLSKY_SFC_SW_DWN,2021,10.95,15.96,18.35,20.48,18.13,14.44,14.75,14.01,17.36,15.36,14.68,12.01,15.52
ALLSKY_SFC_SW_DWN,2022,11.85,15.07,19.28,17.52,16.46,12.58,18.1,17.75,14.12,15.53,15.53,11.61,15.46
ALLSKY_SFC_SW_DWN,2023,11.72,15.95,16.54,21.1,19.53,14.54,18.05,13.51,16.19,14.43,14.26,11.24,15.58
ALLSKY_SFC_SW_DWN,2024,9.7,14.17,17.64,19.99,18.32,12.94,16.59,13.84,15.07,12.22,14.8,12.39,14.8
ALLSKY_SFC_SW_DWN,2025,11.45,15.08,18.27,17.5,16.88,16.99,14.84,13.99,14.82,15.18,14.75,-999,-999
GWETROOT,2011,0.55,0.47,0.4,0.43,0.55,0.66,0.82,0.93,0.92,0.79,0.61,0.5,0.64
GWETROOT,2012,0.45,0.4,0.39,0.49,0.56,0.7,0.86,0.89,0.92,0.87,0.71,0.59,0.65
GWETROOT,2013,0.52,0.44,0.38,0.37,0.67,0.75,0.87,0.88,0.87,0.9,0.78,0.63,0.67
GWETROOT,2014,0.53,0.47,0.41,0.39,0.48,0.7,0.88,0.9,0.95,0.88,0.7,0.58,0.66
GWETROOT,2015,0.5,0.44,0.4,0.53,0.67,0.85,0.93,0.94,0.96,0.86,0.69,0.57,0.7
GWETROOT,2016,0.51,0.49,0.43,0.62,0.8,0.9,0.97,0.94,0.96,0.93,0.81,0.66,0.75
GWETROOT,2017,0.55,0.48,0.55,0.85,0.95,0.98,0.98,0.98,0.97,0.96,0.88,0.8,0.83
GWETROOT,2018,0.7,0.58,0.51,0.62,0.93,0.97,0.96,0.96,0.95,0.86,0.71,0.59,0.78
GWETROOT,2019,0.51,0.45,0.44,0.5,0.76,0.97,0.98,0.94,0.94,0.95,0.89,0.76,0.76
GWETROOT,2020,0.68,0.57,0.49,0.53,0.83,0.98,0.98,0.94,0.96,0.96,0.88,0.74,0.8
GWETROOT,2021,0.62,0.52,0.44,0.47,0.69,0.91,0.96,0.97,0.94,0.92,0.8,0.68,0.74
GWETROOT,2022,0.58,0.55,0.46,0.6,0.8,0.97,0.91,0.89,0.93,0.93,0.83,0.68,0.76
GWETROOT,2023,0.58,0.49,0.48,0.55,0.6,0.8,0.95,0.94,0.93,0.94,0.79,0.7,0.73
GWETROOT,2024,0.59,0.52,0.49,0.56,0.64,0.96,0.96,0.97,0.92,0.95,0.83,0.68,0.76
GWETROOT,2025,0.57,0.48,0.41,0.47,0.75,0.95,0.94,0.96,0.94,0.91,0.81,0.66,0.74
PRECTOTCORR,2011,0.02,0.19,1.36,3.29,9.8,11.69,9.18,21.74,9.07,0.56,0.04,0,5.62
PRECTOTCORR,2012,0.46,1.34,0.39,9.32,5.37,13.44,13.11,9.49,8.45,3.96,1.02,0.42,5.56
PRECTOTCORR,2013,0,0.42,0.67,3.43,14.71,10.3,10.73,9.87,5.83,8.47,0,0.03,5.42
PRECTOTCORR,2014,0.01,1.24,0.81,2.31,8.48,16.52,8.75,16.22,14.85,1.4,0,0.05,5.9
PRECTOTCORR,2015,0.38,0.89,0.67,10.2,10.66,17.53,15.2,14.27,10.65,2.21,0.12,0.15,6.93
PRECTOTCORR,2016,4.15,0.69,3.17,11.81,18.48,13.99,28.01,9.26,18.62,5.6,1.15,0.07,9.61
PRECTOTCORR,2017,0.01,2.03,9.96,24.35,16.81,32.67,24.66,32.15,20.42,11.59,0.82,2.63,14.9
PRECTOTCORR,2018,0.14,1.33,2.65,17.5,21.73,21.03,20.12,12.89,12.45,3.1,0.35,0.69,9.53
PRECTOTCORR,2019,0,1.84,1.07,7.17,20.52,28.07,38.3,9.96,15.36,14.31,0.77,0.13,11.52
PRECTOTCORR,2020,1.14,0.28,1.3,10.6,29.8,25.3,25.82,11.91,22.41,14.62,0.29,0.01,11.99
PRECTOTCORR,2021,0.06,0.02,1.49,5.04,16.89,20.72,15.06,23.49,6.8,8.67,0.06,0.87,8.33
PRECTOTCORR,2022,0.74,1.76,1.66,10.69,21.62,31.82,9.43,10.08,15.54,10.33,0.1,0.17,9.5
PRECTOTCORR,2023,0.04,0.4,5.78,3.45,10.91,24.48,16.94,20.45,10.45,12.44,1.1,1.46,9.05
PRECTOTCORR,2024,0.4,1.21,5.05,4.29,17.96,44.95,17.56,22.94,10.62,10.93,0.19,0,11.36
PRECTOTCORR,2025,0.09,0.25,0.47,10.47,24.45,15.62,18.15,18.45,11.66,7.2,2.24,0,9.15
RH2M,2011,65.79,52.83,49.87,55.73,75.37,84.79,88.64,89.76,89.6,81.22,72.42,67.66,72.94
RH2M,2012,58.72,41.91,39.08,67.36,73.81,87.07,90.12,90.91,90.76,84.42,77.05,69.38,72.63
RH2M,2013,57.45,46.87,40.28,53.2,83.75,88.06,89.75,90.92,87.93,85.29,80.3,75.32,73.43
RH2M,2014,68.61,52.48,44.57,45.04,67.33,85.24,89.17,90.94,89.19,82.31,75.29,70.71,71.88
RH2M,2015,62.88,52.2,43.94,72.25,83.54,89.09,89.94,90.41,88.18,83.04,76.23,66.78,74.99
RH2M,2016,57.83,52.05,49.97,76.39,83.53,88.48,91.05,89.04,89.67,84.21,81.33,77.75,76.83
RH2M,2017,61.63,50.46,63.28,85.61,86.37,90.99,91.29,90.45,89.34,85.86,78.24,82.63,79.85
RH2M,2018,72.38,63.79,57.35,75.34,88.19,89.82,90.24,89.92,87.76,80.76,76.08,69.6,78.51
RH2M,2019,58.11,52.49,48.86,65.75,84.87,89.04,91.35,88.75,88.27,85.61,82.11,80.14,76.42
RH2M,2020,78.8,62.74,53.92,66.76,83.7,91.29,91.79,89.46,90.1,86.96,79.62,81.14,79.76
RH2M,2021,74.98,53.8,46.66,56.49,80.43,90.63,89.56,90.78,88.35,85.54,79.31,78.19,76.38
RH2M,2022,73.67,65.93,51.42,76.12,83.31,91.39,88.69,87.47,88.84,84.81,75.84,77.36,78.8
RH2M,2023,67.86,53.8,58.13,61.37,72.25,86,88.93,89.22,88.09,83.18,77.27,78.29,75.51
RH2M,2024,71.91,57.7,55.71,60.71,77.41,90.64,90.09,91.22,86.5,86.3,77.86,74.91,76.83
RH2M,2025,70.75,53.93,47.26,64.73,81.31,88.13,89.21,90.27,88.34,81.92,79.07,76.89,76.12
T2M,2011,16.29,20.99,25.72,28.45,28.86,28.4,28.01,27.56,27.35,26.3,22.19,19.07,24.95
T2M,2012,17.49,20.58,25.63,28.17,29.26,28.72,28.22,27.93,27.44,25.24,20.61,16.76,24.68
T2M,2013,15.75,21.37,26.44,29.24,28.18,28.63,28.3,27.59,27.84,25.77,22.12,18.68,25
T2M,2014,18.05,20.13,25.35,30.78,30.44,29.34,28.38,27.88,27.3,25.85,22.4,18.69,25.4
T2M,2015,18.79,21.73,26.22,27.15,28.11,28.18,28.03,27.98,27.79,26.13,23.21,19.04,25.21
T2M,2016,18.11,22.7,27.17,28.27,28.02,28.51,27.95,28.31,27.64,26.66,22.88,20.11,25.53
T2M,2017,18.66,21.97,24.08,26.36,28.04,28.15,27.96,28.07,27.93,26.12,22.59,19.74,24.98
T2M,2018,15.78,20.75,25.47,26.56,27.03,28.34,28.46,28.25,27.88,24.98,21.9,18.93,24.54
