-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.16,16.59,18.8,20.57,19.17,16.46,17.04,14.47,16.67,17.78,14.55,10.89,16.25
ALLSKY_SFC_SW_DWN,2012,11.72,17.57,20.14,20.19,20.95,15.58,15.97,16.87,15.76,17.15,13.62,10.21,16.3
ALLSKY_SFC_SW_DWN,2013,13.34,16.81,19.95,19.53,15.71,18.19,18.23,15.54,16.76,14.4,16.09,11.92,16.35
ALLSKY_SFC_SW_DWN,2014,11.67,15.24,19.9,22.07,19.88,15.13,17.05,15.62,16.74,16.96,14.63,11.18,16.34
ALLSKY_SFC_SW_DWN,2015,12.12,15.5,19.6,18.04,18.81,16.28,15.45,15.02,17.12,16.9,14.89,10.65,15.86
ALLSKY_SFC_SW_DWN,2016,11.3,14.53,17.16,19.93,18.29,18.6,15.35,18.45,16.28,16.83,14.88,12.8,16.2
ALLSKY_SFC_SW_DWN,2017,13.63,16.18,16.23,17.83,19.78,17.22,14.63,15.97,15.03,14.14,14.73,12.16,15.62
ALLSKY_SFC_SW_DWN,2018,11.83,15.27,18.41,18.91,16.55,17.71,16.08,17.43,16.78,15.7,14.66,12.73,16
ALLSKY_SFC_SW_DWN,2019,14.27,15.58,18.73,18.74,19.62,17.78,15.88,17.58,14.88,14.89,14.26,10.99,16.1
ALLSKY_SFC_SW_DWN,2020,10.92,14.61,18.55,18.33,17.41,17.27,15.24,16.95,13.68,15.09,15.12,10.68,15.32
ALLSKY_SFC_SW_DWN,2021,10.86,16.16,18.19,20.71,18.31,16.07,16.43,15.31,17.15,15.48,14.62,12.22,15.94
ALLSKY_SFC_SW_DWN,2022,11.56,14.79,19.68,17.78,17.45,15.02,19.05,17.67,14.67,16.24,15.67,11.59,15.94
ALLSKY_SFC_SW_DWN,2023,11.34,15.87,16.47,21.01,20.74,16.8,18.53,14.79,16.19,15.01,14.43,11.22,16.02
ALLSKY_SFC_SW_DWN,2024,9.64,14.31,17.59,20.48,18.35,15.32,17.43,14.85,15.28,12.35,14.75,12.21,15.2
