PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,10.58,15.42,18.4,19.85,18.26,17.28,14.71,16.67,15.63,16.53,12.84,11.21,15.61
ALLSKY_SFC_SW_DWN,2012,10.66,16.2,19.72,20.6,20.49,15.43,13.68,17.13,14.97,17.23,15.08,11.32,16.04
ALLSKY_SFC_SW_DWN,2013,13.4,16.79,19.55,20.12,17.79,17.29,15.53,16.25,16.66,13.58,14.88,11.05,16.06
ALLSKY_SFC_SW_DWN,2014,11.35,13.8,19.17,22.95,19.07,15.57,16.78,14.65,15.73,17.03,13.44,11.61,15.94
ALLSKY_SFC_SW_DWN,2015,11.86,14.08,17.98,18.24,18.26,15.74,16.84,13.3,15.56,16.91,13.82,10.5,15.26
ALLSKY_SFC_SW_DWN,2016,10.2,14.75,18.13,19.8,17.09,16.55,13.07,18.07,13.47,16.15,15.15,12.43,15.4
ALLSKY_SFC_SW_DWN,2017,13.04,14.86,16.45,17.81,18.56,16.86,15.46,13.95,15.17,13.85,14.9,12.61,15.29
ALLSKY_SFC_SW_DWN,2018,10.49,13.97,17.79,17.41,17.26,16.03,14.63,16.37,14.55,15.74,13.76,11.89,14.99
ALLSKY_SFC_SW_DWN,2019,12.96,13.5,18.5,18.08,17.78,17.03,13.58,17.78,12.97,14.15,13.38,10.78,15.05
ALLSKY_SFC_SW_DWN,2020,9.77,13.66,17.62,18.74,16.38,14.08,11.35,15.54,10.9,15.7,14.28,11,14.08
ALLSKY_SFC_SW_DWN,2021,10.14,14.39,18.04,20.76,14.58,13.83,14.26,12.72,16.9,13.72,13.59,11.72,14.54
ALLSKY_SFC_SW_DWN,2022,10.6,13.5,18.39,16.6,17.3,12.82,16.84,15.51,13.56,15.12,14.96,10.89,14.69
ALLSKY_SFC_SW_DWN,2023,11.52,13.82,16.4,20.86,20.01,17.01,14.63,12.85,15.52,15.22,14.54,11.38,15.31
ALLSKY_SFC_SW_DWN,2024,9.47,13.35,16.6,21.62,17.77,14.38,14.47,15.89,15.84,12.48,13.42,11.59,14.73
ALLSKY_SFC_SW_DWN,2025,10.01,13.14,17.67,17.6,16.09,18.5,17.25,14.13,15.62,14.03,13.71,-999,-999
GWETROOT,2011,0.48,0.43,0.37,0.35,0.44,0.56,0.85,0.94,0.89,0.81,0.63,0.52,0.61
GWETROOT,2012,0.46,0.41,0.35,0.4,0.41,0.56,0.85,0.87,0.9,0.79,0.58,0.48,0.59
GWETROOT,2013,0.42,0.38,0.35,0.36,0.46,0.66,0.89,0.93,0.89,0.86,0.75,0.6,0.63
GWETROOT,2014,0.51,0.44,0.38,0.33,0.42,0.58,0.79,0.82,0.91,0.79,0.6,0.49,0.59
GWETROOT,2015,0.44,0.39,0.35,0.37,0.47,0.62,0.79,0.86,0.94,0.8,0.59,0.48,0.59
GWETROOT,2016,0.43,0.38,0.34,0.39,0.5,0.72,0.95,0.92,0.93,0.91,0.72,0.57,0.65
GWETROOT,2017,0.48,0.41,0.39,0.46,0.6,0.67,0.88,0.94,0.93,0.88,0.72,0.58,0.66
GWETROOT,2018,0.49,0.42,0.38,0.44,0.61,0.75,0.91,0.92,0.93,0.77,0.57,0.47,0.64
GWETROOT,2019,0.42,0.39,0.37,0.43,0.49,0.62,0.91,0.91,0.93,0.9,0.74,0.6,0.64
GWETROOT,2020,0.52,0.46,0.5,0.49,0.63,0.86,0.98,0.95,0.97,0.89,0.7,0.57,0.71
GWETROOT,2021,0.49,0.43,0.39,0.39,0.55,0.74,0.94,0.96,0.94,0.92,0.83,0.69,0.69
GWETROOT,2022,0.59,0.55,0.45,0.53,0.66,0.89,0.92,0.92,0.93,0.89,0.71,0.57,0.72
GWETROOT,2023,0.48,0.42,0.41,0.46,0.47,0.68,0.94,0.95,0.91,0.91,0.72,0.58,0.66
GWETROOT,2024,0.49,0.43,0.41,0.42,0.4,0.83,0.96,0.91,0.86,0.91,0.76,0.61,0.67
