PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,13.87,17.7,19.47,20.96,19.88,14.45,16.51,13.7,14.58,17.22,15.38,12.52,16.34
ALLSKY_SFC_SW_DWN,2012,12.45,18.11,19.76,20.47,20.7,16.45,15.78,16.2,15.3,17.39,14.32,12.67,16.62
ALLSKY_SFC_SW_DWN,2013,14.03,17.86,20.24,20.85,15.94,16.7,16.65,15.69,15.3,13.67,16.61,13.54,16.4
ALLSKY_SFC_SW_DWN,2014,13.77,16.75,20.51,22.12,20.44,14.71,15.63,15.34,16.89,17.19,15.23,13.05,16.8
ALLSKY_SFC_SW_DWN,2015,13.57,17.03,20.74,19.06,20.37,15.38,11.68,15.33,15.13,16.28,15.36,10.36,15.84
ALLSKY_SFC_SW_DWN,2016,12.3,14.52,17.8,20.25,19.37,18.67,13.78,15.76,16.5,16.53,15.13,13.63,16.18
ALLSKY_SFC_SW_DWN,2017,15.29,16.84,18.07,19.2,21.02,17.05,12.98,14.9,14.75,14.61,15.28,13.08,16.08
ALLSKY_SFC_SW_DWN,2018,13.86,16.03,18.7,20.39,18.66,15.77,15.09,16.2,16.35,15.99,14.89,13.26,16.26
ALLSKY_SFC_SW_DWN,2019,15.13,16.23,19.01,21.26,20.55,17.5,15.47,15.55,14.68,15.65,14.59,12.38,16.49
ALLSKY_SFC_SW_DWN,2020,12.6,15.42,19.62,19.53,19.64,16.08,15.72,14.39,15.05,14.96,15.46,12.52,15.91
ALLSKY_SFC_SW_DWN,2021,12.65,16.46,18.36,21.42,20.06,14.08,14.84,14.3,14.07,15.48,15.17,12.47,15.77
ALLSKY_SFC_SW_DWN,2022,12.66,16.4,20.27,19.69,18.66,14.94,17.73,16.15,15.19,16.66,16.15,13.01,16.46
ALLSKY_SFC_SW_DWN,2023,12.31,16.15,16.42,20.77,20.29,15.11,17.63,12.66,14.04,15.29,14.45,12.17,15.6
ALLSKY_SFC_SW_DWN,2024,11.78,14.09,17.63,20.29,18.67,16.6,15.41,11.47,15,13.46,14.92,13.1,15.19
ALLSKY_SFC_SW_DWN,2025,12.76,14.79,18.85,19.21,18.15,15.66,12.36,14.29,15.88,16.08,16.3,-999,-999
GWETROOT,2011,0.63,0.53,0.49,0.51,0.6,0.77,0.97,0.98,0.99,0.87,0.69,0.57,0.72
GWETROOT,2012,0.53,0.49,0.47,0.52,0.54,0.6,0.81,0.95,0.98,0.89,0.76,0.63,0.68
GWETROOT,2013,0.55,0.5,0.47,0.48,0.72,0.95,0.97,0.99,0.99,0.98,0.87,0.7,0.77
GWETROOT,2014,0.59,0.52,0.49,0.46,0.52,0.75,0.98,0.98,0.96,0.9,0.72,0.59,0.71
GWETROOT,2015,0.54,0.5,0.49,0.54,0.57,0.69,0.99,0.99,0.99,0.94,0.78,0.64,0.72
GWETROOT,2016,0.56,0.52,0.52,0.51,0.69,0.97,1,1,0.99,0.97,0.93,0.78,0.79
GWETROOT,2017,0.65,0.55,0.63,0.69,0.85,0.98,1,1,1,0.99,0.88,0.83,0.84
GWETROOT,2018,0.74,0.62,0.51,0.58,0.81,0.99,0.99,0.99,0.98,0.91,0.76,0.64,0.79
GWETROOT,2019,0.56,0.52,0.62,0.58,0.64,0.9,0.99,1,0.99,0.98,0.95,0.83,0.8
GWETROOT,2020,0.81,0.68,0.59,0.61,0.9,0.99,0.99,1,0.98,0.99,0.93,0.79,0.86
GWETROOT,2021,0.67,0.57,0.5,0.46,0.54,0.88,0.99,1,0.99,0.98,0.86,0.83,0.77
GWETROOT,2022,0.74,0.68,0.55,0.49,0.64,0.83,0.92,0.96,0.97,0.98,0.88,0.76,0.78
GWETROOT,2023,0.65,0.55,0.53,0.57,0.61,0.78,0.97,0.99,1,0.96,0.86,0.85,0.78
GWETROOT,2024,0.74,0.67,0.57,0.51,0.67,0.88,0.97,1,0.99,0.99,0.89,0.73,0.8
GWETROOT,2025,0.61,0.53,0.48,0.52,0.7,0.98,1,0.99,0.98,0.96,0.83,0.67,0.77
PRECTOTCORR,2011,0.01,0.03,1.17,2.6,6.39,12.01,11.06,18.74,10.21,1.5,0.07,0.08,5.36
PRECTOTCORR,2012,0.76,0.26,0.59,3.54,2.5,6.79,11.83,9.92,10.67,1.69,2.11,0.06,4.23
PRECTOTCORR,2013,0.04,0.2,0.26,1.57,16.24,10.05,11.43,10.9,11.78,7.68,0,0,5.89
PRECTOTCORR,2014,0,0.58,0.33,0.22,6.19,12.64,11.66,10.75,8.12,2.57,0.01,0,4.45
PRECTOTCORR,2015,0.47,0.61,0.92,4.73,2.24,18.12,28.41,12.37,11.52,4.82,0.33,0.13,7.09
PRECTOTCORR,2016,0.09,2.29,0.91,1.15,19.53,9.08,29.7,32.09,14.31,11.82,6.11,0.07,10.67
PRECTOTCORR,2017,0.01,0.08,6.73,10.15,7.02,21.41,46.15,27.47,19.71,22.56,0.92,3.47,13.93
PRECTOTCORR,2018,0.02,0.06,0.28,7.28,12.31,25.91,30.69,12.6,9.05,4.79,0.33,0.81,8.73
PRECTOTCORR,2019,0,5.66,2.01,3.01,9.23,13.38,31.48,29.26,17.22,13.17,11.3,1.03,11.44
PRECTOTCORR,2020,2.73,0.17,2.11,10.44,13.92,18.57,15.06,16.94,13.08,16.53,2.92,0.02,9.4
PRECTOTCORR,2021,0.15,0.04,0.27,0.3,6.01,20.58,20.55,14.58,12.51,8.4,0.29,3.68,7.33
PRECTOTCORR,2022,0.59,2.82,0.08,1.01,10.62,9.81,7.42,11.56,13.04,15.23,4,0.1,6.38
PRECTOTCORR,2023,0.01,0.03,3.79,2.65,7.34,12.63,8.96,21.83,14.36,10.33,5.31,2.33,7.51
PRECTOTCORR,2024,0.85,1.58,1.62,0.44,14.54,8.22,17.63,28.76,21.7,11.43,0.64,0.15,9.02
PRECTOTCORR,2025,0,0.26,0.17,5.42,14.11,16.9,29.33,12.97,8.51,9.54,1.03,0,8.25
RH2M,2011,68.07,53.27,54.04,64.55,77.82,86.84,88.23,91.29,91.28,83,74.96,70.04,75.42
RH2M,2012,62.25,44.76,52.01,67.53,70.52,79.02,87.35,89.9,90.13,85.05,78.14,69.74,73.13
RH2M,2013,55.4,42.25,51.34,60.31,83.6,89,89.24,90.09,89,88.06,82.39,75.59,74.9
RH2M,2014,68.09,55.34,49.51,51.89,70.33,85.34,89.71,89.98,88.3,81.81,71.88,65.9,72.46
RH2M,2015,59.28,54.11,47.53,71.22,74.74,82.77,91.5,90.23,86.53,81.72,75.33,68.16,73.69
RH2M,2016,57.22,59.91,62.03,66.93,77.42,88.98,90.68,89.95,89.03,86.3,82.86,79.46,77.61
RH2M,2017,66.83,54.31,71.38,80.63,84.2,90.88,91.62,90.58,90.15,86.3,81.6,83.9,81.2
RH2M,2018,71.16,64.44,56.15,73.96,84.58,90.6,90.13,89.73,88.27,79.51,74.18,69.12,77.72
RH2M,2019,56.5,54.03,70.3,69.74,78.66,88.01,91.03,89.8,89.62,86.64,84.59,82.01,78.56
RH2M,2020,78.76,66.11,64.51,70.59,82.52,90.68,90.4,90.75,89.63,88.57,82.66,81.19,81.43
RH2M,2021,73.27,58.68,52.74,53.5,69.55,88.54,89,90.54,89.51,85.92,82.9,83.61,76.6
RH2M,2022,80.06,69.3,59.45,64.54,78.13,87.33,87.05,88.44,89.12,85.88,79.94,76.97,78.91
RH2M,2023,72.25,58.42,59.09,65.73,72.65,85.76,88.36,89.32,90.28,82.92,81.85,82.61,77.55
RH2M,2024,77.8,69.59,63.6,54.96,77.18,87.44,89.49,92.31,90.35,86.71,81.36,79.16,79.22
RH2M,2025,73.2,57.38,53.91,68.32,81.27,88.64,90.75,90.11,88.92,85.62,81.53,80.28,78.46
T2M,2011,17.23,22.55,27.64,29.22,29.46,28.7,28.21,27.61,27.45,26.72,22.94,19.66,25.63
T2M,2012,19.21,22.58,28.01,29.92,30.82,30.27,28.47,27.94,27.65,25.07,21.26,16.84,25.67
T2M,2013,17.15,22.31,28.12,30.71,28.86,28.48,28.27,27.78,27.73,26.28,21.65,19.08,25.54
T2M,2014,17.59,21.99,27.59,32.6,30.92,29.6,28.54,28.12,27.77,26.24,22.3,18.6,26
T2M,2015,19.28,22.99,27.34,28.74,30.09,29.23,28.04,28.1,28.27,26.65,23.48,20.05,26.03
T2M,2016,19.5,25.12,28.22,31.13,29.72,28.53,28.02,28.08,27.92,26.61,22.09,18.88,26.14
T2M,2017,18.1,23.01,25.3,27.93,28.82,28.44,28,28.17,27.88,26.63,22.18,19.56,25.34
T2M,2018,15.65,22.23,28.05,28.16,28.24,28.3,28.45,28.31,28.02,26.08,23.23,18.49,25.27
T2M,2019,18.78,23.02,25.46,29.32,29.92,29.01,28.33,28.34,27.9,26.32,23.33,17.95,25.64
T2M,2020,17.09,19.82,25.66,28.67,28.58,28.4,28.48,28.35,28.35,27.59,22.71,18.07,25.16
T2M,2021,18.33,21.62,29.19,31.75,30.72,28.45,28.59,28.23,27.64,27,22.01,18.66,26.04
T2M,2022,17.43,19.69,26.68,30.91,29.46,28.51,28.46,28.29,28.01,26.32,22.25,19.24,25.46
T2M,2023,18.51,23.13,26.98,29.76,30.05,29.26,29,28.55,28.25,26.68,22.97,19.15,26.03
T2M,2024,16.59,21.52,26.13,32.7,30.2,29.44,28.84,27.89,28.32,27.58,22.86,18.49,25.88
T2M,2025,18.54,23.8,28.73,29.65,29.02,28.67,28.27,28,28.01,26.98,21.48,17.5,25.72
