PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,11.81,16.57,18.99,20.43,19.17,17.37,16.14,16.34,16.62,17.88,14.85,11.56,16.47
ALLSKY_SFC_SW_DWN,2012,12,17.47,20.66,20.68,20.62,15.13,15.71,17.75,15.07,17.82,15.02,10.7,16.55
ALLSKY_SFC_SW_DWN,2013,14.03,17.38,20.41,19.51,16.88,18.2,17.87,16.2,17.46,14.54,16.09,12.33,16.72
ALLSKY_SFC_SW_DWN,2014,12.17,15.35,19.84,23.06,19.92,15.49,17.28,15.01,15.6,17.91,14.93,12.23,16.57
ALLSKY_SFC_SW_DWN,2015,12.45,15.51,19.03,17.85,18.53,15.74,16.64,14.66,16.31,17.82,15.24,12.13,15.99
ALLSKY_SFC_SW_DWN,2016,11.76,15.6,18.23,19.77,17.05,17.54,14.63,19.09,15.38,17.01,16.03,13.91,16.33
ALLSKY_SFC_SW_DWN,2017,14.22,16.13,16.56,17.01,19.37,17.56,15.52,15.35,14.64,14.31,15.47,13.15,15.77
ALLSKY_SFC_SW_DWN,2018,12.01,15.27,18.55,17.87,17.37,16.78,16.69,17.52,16.04,16.62,15.12,13.54,16.12
ALLSKY_SFC_SW_DWN,2019,14.72,15.07,19.59,19.52,18.41,17.76,15.05,18.49,13.94,14.74,14.45,11.8,16.13
ALLSKY_SFC_SW_DWN,2020,11.23,14.5,19.14,19.67,17.36,16.24,12.66,16.99,11.62,15.87,15.39,12.3,15.25
ALLSKY_SFC_SW_DWN,2021,10.95,16.21,18.66,21.24,16.54,16.3,15.91,14.71,17.39,14.93,15.02,13.14,15.9
ALLSKY_SFC_SW_DWN,2022,11.96,14.7,19.18,16.22,17.03,13.32,18.32,17.48,14.8,16.16,16.27,12,15.63
ALLSKY_SFC_SW_DWN,2023,12.37,15.37,17.36,21.45,20.81,16.84,17.14,14.46,15.87,15.23,15.77,12.4,16.25
ALLSKY_SFC_SW_DWN,2024,9.94,14.83,17.55,21.38,18.05,14.5,16.82,16.17,15.92,12.57,15.27,12.69,15.46
ALLSKY_SFC_SW_DWN,2025,10.79,14.97,18.61,18.28,17.14,19.14,16.67,15.26,15.79,15.23,15.12,-999,-999
GWETROOT,2011,0.51,0.45,0.39,0.39,0.51,0.58,0.73,0.91,0.89,0.81,0.62,0.51,0.61
GWETROOT,2012,0.46,0.41,0.37,0.43,0.47,0.58,0.81,0.81,0.89,0.86,0.69,0.57,0.61
GWETROOT,2013,0.49,0.43,0.38,0.39,0.51,0.66,0.82,0.85,0.84,0.88,0.78,0.63,0.64
GWETROOT,2014,0.54,0.47,0.41,0.36,0.41,0.61,0.79,0.8,0.93,0.86,0.67,0.55,0.62
GWETROOT,2015,0.49,0.44,0.39,0.43,0.53,0.71,0.84,0.89,0.96,0.82,0.63,0.51,0.64
GWETROOT,2016,0.46,0.43,0.38,0.44,0.57,0.72,0.94,0.91,0.93,0.93,0.76,0.61,0.67
GWETROOT,2017,0.52,0.44,0.42,0.57,0.74,0.84,0.94,0.97,0.95,0.94,0.83,0.7,0.74
GWETROOT,2018,0.59,0.5,0.43,0.51,0.77,0.9,0.92,0.91,0.91,0.76,0.59,0.49,0.69
GWETROOT,2019,0.44,0.4,0.38,0.42,0.55,0.77,0.96,0.92,0.95,0.96,0.86,0.72,0.7
GWETROOT,2020,0.64,0.54,0.48,0.51,0.77,0.97,0.98,0.95,0.96,0.95,0.81,0.67,0.77
GWETROOT,2021,0.57,0.48,0.41,0.4,0.57,0.76,0.9,0.95,0.95,0.95,0.83,0.69,0.71
GWETROOT,2022,0.6,0.58,0.47,0.51,0.69,0.91,0.85,0.83,0.89,0.89,0.75,0.61,0.72
GWETROOT,2023,0.53,0.45,0.43,0.47,0.5,0.71,0.91,0.9,0.92,0.94,0.75,0.64,0.68
GWETROOT,2024,0.56,0.49,0.47,0.45,0.46,0.88,0.95,0.91,0.87,0.94,0.8,0.65,0.7
GWETROOT,2025,0.55,0.47,0.41,0.45,0.67,0.89,0.86,0.94,0.92,0.9,0.81,0.66,0.71
PRECTOTCORR,2011,0.06,0.42,0.44,2.28,8.21,8.47,8,18.32,10.87,0.2,0.14,0.01,4.81
PRECTOTCORR,2012,0.33,0.26,0.06,5.01,4.39,9.24,12.3,5.66,12.5,2.75,0.59,0.01,4.42
PRECTOTCORR,2013,0.02,0.53,0.16,2.67,9.05,8.75,8.07,9.03,5.37,8.78,0,0,4.4
PRECTOTCORR,2014,0,1.12,0.14,0.6,6.38,10.9,6.14,11.06,13.79,1.05,0,0,4.27
PRECTOTCORR,2015,0.53,0.56,0.65,5.05,7.22,13.26,7.71,14.4,9.98,0.85,0.02,0.01,5.03
PRECTOTCORR,2016,1.09,0.04,2.09,2.31,12.22,11.09,19.53,5.88,13.68,5.43,0.01,0.14,6.15
PRECTOTCORR,2017,0.1,0.06,3.65,9.18,10.26,13.09,14.15,19.54,9.6,8.05,0.13,0.43,7.41
PRECTOTCORR,2018,0,0.56,1.5,9.75,12.1,13.19,11.01,7.23,10.08,0.94,0.03,0.25,5.56
PRECTOTCORR,2019,0.01,0.75,0.77,3.87,10.11,13.84,28.8,9.66,20.5,8.65,0.18,0.05,8.14
PRECTOTCORR,2020,0.71,0.29,1.73,8.32,19.3,17.33,19.32,10.4,20.48,7.82,0.03,0,8.83
PRECTOTCORR,2021,0.01,0.01,0.72,2.49,11.49,12.51,10.02,16.15,7.33,10.36,0.02,0.16,5.99
PRECTOTCORR,2022,0.63,2.26,0.41,6.56,13.24,19.28,6.83,7.63,9.34,5.88,0.02,0.06,6.01
PRECTOTCORR,2023,0,0.06,3.4,2.23,7.65,17,10.1,15.04,13.01,7.53,0.13,1.12,6.47
PRECTOTCORR,2024,0.4,0.41,4.57,0.11,8.79,23.2,14.34,10.53,13.55,6.04,0.15,0,6.85
PRECTOTCORR,2025,0.03,0.47,0.18,6.06,16.08,10.26,10.92,15.15,10.33,6.87,1.66,0,6.54
RH2M,2011,67.65,54.27,45.29,48.76,68.71,77.05,84.95,86.98,88.11,81.28,78.55,75.97,71.59
RH2M,2012,62.69,45.97,33.06,51.8,60.53,75.2,86.62,86.05,88.96,83.73,76.69,68.35,68.37
RH2M,2013,55.67,46.38,35.27,42.74,69.06,82.52,86.88,88.08,85.81,85.67,82.69,77.03,69.97
RH2M,2014,69.31,54,42.73,32.93,54.58,78.32,85.72,87.41,87.06,80.31,72.56,69.64,68
RH2M,2015,62.32,51,40.22,59.74,70.32,82.53,86.25,88.46,86.78,79.57,74.97,59.81,70.26
RH2M,2016,53.02,45.32,39.2,48.84,70.68,82.49,88.35,86.75,88.22,82.96,80.13,77.92,70.41
RH2M,2017,62.17,46.7,50.49,70.85,81.35,85.86,89.22,88.63,88.27,85.84,81.4,81.73,76.22
RH2M,2018,65.14,56.11,48.63,68.88,83.45,85.81,87.54,87.42,86.66,77.89,73.2,67.12,74.08
RH2M,2019,60.56,49.3,39.5,56.64,71.45,84.47,89.9,86.37,87.8,85.81,85.07,81.63,73.35
RH2M,2020,76.84,61.49,55.64,61.75,80.5,88.63,90.4,87.59,89.98,84.45,84.09,78.87,78.41
RH2M,2021,69.89,50.46,38.92,45.02,73.26,85.79,86.28,88.77,87.05,86.64,83.11,80.95,73.17
RH2M,2022,78.1,69.3,50.81,65.96,77.43,87.95,86.31,84.71,89.31,85.93,79.11,76.97,77.69
RH2M,2023,66.52,50.76,52.52,49.43,62.56,78.96,85.97,86.77,86.46,83.16,80.3,79.06,72.03
RH2M,2024,70.19,56.95,53.33,40.89,62.03,87.51,87.77,88.05,85.29,87.44,81.49,79.58,73.46
RH2M,2025,71.49,56.15,45.5,58.24,75.36,83.06,86.01,87.74,85.43,83.25,82.38,81.39,74.79
T2M,2011,15.46,20.52,25.84,29.42,30.08,30,28.95,28.51,27.89,26.11,21.5,18.03,25.21
T2M,2012,16.61,19.93,26,29.79,31.4,30.94,29.17,28.99,27.72,23.61,19,15.07,24.86
T2M,2013,14.6,20.52,26.62,30.1,30.19,29.75,29.21,28.36,28.4,25.61,20.95,17.68,25.18
T2M,2014,16.67,19.23,25.25,31.92,32.45,30.71,29.41,28.77,28,26.17,21.49,17.61,25.67
T2M,2015,17.98,21.61,26.75,28.78,30.36,29.51,29.07,28.73,28.22,26.56,23.83,19.17,25.9
T2M,2016,17.82,22.78,28.2,31.35,29.93,29.72,28.81,28.93,28.03,26.4,22.36,19.15,26.12
T2M,2017,17.85,21.79,25.28,28.12,28.86,29.32,28.59,28.75,28.32,26.46,21.83,19.4,25.39
T2M,2018,15.03,20.99,26.15,27.6,27.88,29.32,29.23,29.04,28.3,25.68,22.51,18.52,25.03
T2M,2019,18.39,21.27,25.71,29.72,30.14,29.78,28.92,29.35,28.01,25.31,22.43,16.55,25.48
T2M,2020,15.81,18.69,24.6,27.56,28.03,28.73,28.72,29.06,28.3,27.4,21.55,17.6,24.68
T2M,2021,17.19,20.8,26.95,30.08,28.83,28.84,29.15,28.58,28.15,26.38,20.58,17.99,25.31
T2M,2022,16.8,17.95,26.35,28.95,29.08,28.5,29.02,29.1,27.8,25.75,21.83,18.42,25
T2M,2023,17.45,21.56,25.67,29.3,30.04,30.27,29.59,29.19,28.83,25.93,22.35,19.17,25.79
T2M,2024,16.15,19.77,24.24,30.63,30.7,29.58,29.62,28.56,29.09,26.37,22.07,17.44,25.35
T2M,2025,17.7,20.33,25.81,28.76,28.98,29.45,29.13,28.54,28.7,26.28,21.23,17,25.18
