PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,13.87,17.7,19.47,20.96,19.88,14.45,16.51,13.7,14.58,17.22,15.38,12.52,16.34
ALLSKY_SFC_SW_DWN,2012,12.45,18.11,19.76,20.47,20.7,16.45,15.78,16.2,15.3,17.39,14.32,12.67,16.62
ALLSKY_SFC_SW_DWN,2013,14.03,17.86,20.24,20.85,15.94,16.7,16.65,15.69,15.3,13.67,16.61,13.54,16.4
ALLSKY_SFC_SW_DWN,2014,13.77,16.75,20.51,22.12,20.44,14.71,15.63,15.34,16.89,17.19,15.23,13.05,16.8
ALLSKY_SFC_SW_DWN,2015,13.57,17.03,20.74,19.06,20.37,15.38,11.68,15.33,15.13,16.28,15.36,10.36,15.84
ALLSKY_SFC_SW_DWN,2016,12.3,14.52,17.8,20.25,19.37,18.67,13.78,15.76,16.5,16.53,15.13,13.63,16.18
ALLSKY_SFC_SW_DWN,2017,15.29,16.84,18.07,19.2,21.02,17.05,12.98,14.9,14.75,14.61,15.28,13.08,16.08
ALLSKY_SFC_SW_DWN,2018,13.86,16.03,18.7,20.39,18.66,15.77,15.09,16.2,16.35,15.99,14.89,13.26,16.26
ALLSKY_SFC_SW_DWN,2019,15.13,16.23,19.01,21.26,20.55,17.5,15.47,15.55,14.68,15.65,14.59,12.38,16.49
ALLSKY_SFC_SW_DWN,2020,12.6,15.42,19.62,19.53,19.64,16.08,15.72,14.39,15.05,14.96,15.46,12.52,15.91
ALLSKY_SFC_SW_DWN,2021,12.65,16.46,18.36,21.42,20.06,14.08,14.84,14.3,14.07,15.48,15.17,12.47,15.77
ALLSKY_SFC_SW_DWN,2022,12.66,16.4,20.27,19.69,18.66,14.94,17.73,16.15,15.19,16.66,16.15,13.01,16.46
ALLSKY_SFC_SW_DWN,2023,12.31,16.15,16.42,20.77,20.29,15.11,17.63,12.66,14.04,15.29,14.45,12.17,15.6
ALLSKY_SFC_SW_DWN,2024,11.78,14.09,17.63,20.29,18.67,16.6,15.41,11.47,15,13.46,14.92,13.1,15.19
ALLSKY_SFC_SW_DWN,2025,12.76,14.79,18.85,19.21,18.15,15.66,12.36,14.29,15.88,16.08,16.3,-999,-999
GWETROOT,2011,0.65,0.6,0.59,0.62,0.7,0.81,0.98,0.98,0.99,0.87,0.7,0.61,0.76
GWETROOT,2012,0.62,0.6,0.59,0.63,0.61,0.65,0.83,0.96,0.98,0.88,0.75,0.66,0.73
GWETROOT,2013,0.61,0.59,0.59,0.6,0.74,0.92,0.96,0.99,0.99,0.99,0.88,0.72,0.8
GWETROOT,2014,0.63,0.6,0.6,0.59,0.63,0.78,0.98,0.98,0.96,0.88,0.7,0.62,0.75
GWETROOT,2015,0.62,0.6,0.6,0.66,0.65,0.73,0.99,0.99,0.99,0.93,0.75,0.64,0.76
GWETROOT,2016,0.6,0.61,0.62,0.6,0.75,0.95,1,1,0.98,0.95,0.9,0.75,0.81
GWETROOT,2017,0.65,0.6,0.68,0.67,0.76,0.94,1,1,1,0.99,0.87,0.82,0.83
GWETROOT,2018,0.73,0.63,0.59,0.66,0.79,0.96,0.99,0.99,0.99,0.89,0.72,0.64,0.8
GWETROOT,2019,0.6,0.6,0.7,0.65,0.69,0.86,0.96,1,0.99,0.98,0.94,0.81,0.82
GWETROOT,2020,0.76,0.67,0.66,0.68,0.86,0.98,0.99,1,0.99,0.99,0.91,0.76,0.85
GWETROOT,2021,0.66,0.61,0.59,0.59,0.67,0.91,0.99,1,0.99,0.99,0.86,0.82,0.81
GWETROOT,2022,0.73,0.7,0.63,0.59,0.71,0.79,0.86,0.93,0.97,0.98,0.86,0.71,0.79
GWETROOT,2023,0.63,0.59,0.62,0.66,0.69,0.79,0.97,0.99,0.99,0.95,0.8,0.76,0.79
GWETROOT,2024,0.69,0.67,0.62,0.59,0.72,0.83,0.95,1,0.99,0.99,0.88,0.73,0.81
GWETROOT,2025,0.64,0.6,0.59,0.62,0.75,0.97,1,0.99,0.98,0.96,0.82,0.69,0.8
PRECTOTCORR,2011,0.01,0.06,1.01,2.13,5.85,11.47,9.88,17.19,9.4,1.23,0.06,0.21,4.9
PRECTOTCORR,2012,1.11,0.34,0.32,2.71,1.82,4.91,10.21,8.63,9.79,1.62,2.32,0.21,3.67
PRECTOTCORR,2013,0.09,0.26,0.4,1.49,11.64,8.7,9.73,10.66,10.72,8.66,0,0,5.24
PRECTOTCORR,2014,0,0.71,0.46,0.08,4.71,9.97,10.17,8.55,7.34,2.08,0,0.02,3.69
PRECTOTCORR,2015,0.91,0.82,1.06,4.05,1.86,12.13,24.07,9.72,10.13,2.97,0.15,0.15,5.7
PRECTOTCORR,2016,0.14,2.53,0.62,0.8,14.79,8.84,21.43,29.12,10.3,7.54,3.15,0.03,8.33
PRECTOTCORR,2017,0,0.04,4.82,4.69,6.26,15.07,38.3,17.69,13.28,21.21,1.12,2.97,10.56
PRECTOTCORR,2018,0,0.05,0.2,5.48,8.2,17.72,21.43,10.28,7.92,3.24,0.11,0.64,6.31
PRECTOTCORR,2019,0,5.3,1.78,2.52,6.82,9.33,16.99,25.21,14.3,11.05,9.95,0.84,8.7
PRECTOTCORR,2020,1.86,0.18,2.92,8.1,12.58,15.17,11.55,15.35,9.49,10.88,1.26,0.02,7.47
PRECTOTCORR,2021,0.14,0.08,0.02,0.21,6.36,17.49,18.71,11.34,14.19,8.04,0.34,3.45,6.74
PRECTOTCORR,2022,0.63,3.12,0.14,0.41,8.27,5.61,6.26,10.68,12.86,11.02,1.7,0.02,5.08
PRECTOTCORR,2023,0,0.03,3.28,2.77,6.06,10.99,8.12,16.07,11.53,7.73,2.54,2.11,5.97
PRECTOTCORR,2024,1.09,1.58,1.31,0.21,12.26,5.3,13.95,21.77,18.65,10.45,0.26,0.2,7.3
PRECTOTCORR,2025,0,0.5,0.17,4.05,11.81,12.97,25.52,10.94,7.93,7.28,0.81,0,6.89
RH2M,2011,62.22,46.99,50.75,63.43,76.27,84.9,88.09,91.2,91.13,82.08,71.56,64.59,72.92
RH2M,2012,63.07,44.18,46.38,65.51,66.6,75.83,85.87,89.77,90.14,83.87,75.65,65.72,71.13
RH2M,2013,52.07,38.74,48.42,58.94,80.1,88.13,88.61,90.19,89.6,88.48,81.03,73.13,73.33
RH2M,2014,64.28,53.47,47.54,48.34,67.28,82.76,89.31,90.23,87.95,80.92,68.51,59.1,70.09
RH2M,2015,58.65,52.96,47.3,71.41,72.82,80.61,91.54,90.05,86.84,80.2,71.82,64.14,72.46
RH2M,2016,51.29,54.63,62.6,61.36,75.45,88.35,90.83,90.07,89.24,85.38,81.3,75.81,75.59
RH2M,2017,61.23,47.65,66.44,72.47,78.47,89.13,91.74,90.82,90.51,85.62,80.42,82.64,78.29
RH2M,2018,65.71,59.59,49.42,70.36,80.44,89.98,90.17,89.73,88.69,78.43,70.61,63.78,74.81
RH2M,2019,49.19,47.9,68.48,66.62,73.48,86.02,89.67,90.1,90.48,86.54,83.8,80.34,76.22
RH2M,2020,75.58,61.91,63.24,66.44,80.65,90.29,90.18,90.77,90.08,88.48,81.25,76.55,79.69
RH2M,2021,67.03,50.35,44.45,50.88,70.69,88.01,89.18,90.89,89.96,86.61,81.93,82.29,74.52
RH2M,2022,77.26,66.15,57.69,59.86,76.22,84.48,85.92,88.09,89.71,85.72,78.04,70.98,76.75
RH2M,2023,65.61,49.1,54.31,62.01,71.05,82.84,88.1,89.02,90.71,82.54,80.3,79.7,74.77
RH2M,2024,71.78,64.26,59.34,47.37,73.68,85.47,88.6,92.4,90.6,87.68,80.53,76.14,76.56
RH2M,2025,69.03,53.66,50.23,66.9,78.09,87.61,90.87,90.6,89.19,85.96,80.28,76.36,76.7
T2M,2011,17.63,23.2,28.27,29.56,29.83,29.05,28.28,27.68,27.45,26.74,23.31,19.94,25.92
T2M,2012,19.29,22.79,28.38,30.31,31.55,30.83,28.71,28.04,27.63,24.87,21.18,17.17,25.9
T2M,2013,17.39,22.73,28.41,31.03,29.53,28.63,28.45,27.83,27.71,26.25,21.51,19.11,25.72
T2M,2014,17.89,22.2,27.94,33.11,31.47,30.06,28.67,28.16,27.86,26.25,22.31,18.69,26.23
T2M,2015,19.13,23.12,27.53,28.79,30.48,29.54,28.09,28.24,28.22,26.81,23.86,20.54,26.21
T2M,2016,20.01,25.66,28.24,32.15,30.11,28.63,28.03,28.09,27.88,26.41,21.85,18.77,26.31
T2M,2017,18.72,23.78,26.04,29.27,29.73,28.66,28.05,28.16,27.85,26.69,21.98,19.22,25.68
T2M,2018,15.97,22.73,28.74,28.83,28.88,28.45,28.51,28.36,27.93,26.06,23.56,18.71,25.57
T2M,2019,19.27,23.7,25.83,30.01,30.78,29.39,28.55,28.39,27.79,26.24,23.09,17.91,25.91
T2M,2020,17.2,20.28,25.94,29.39,28.83,28.51,28.51,28.44,28.3,27.45,22.52,18.27,25.31
T2M,2021,18.96,22.68,30.15,32.14,30.65,28.58,28.62,28.24,27.6,26.92,22.15,18.65,26.29
T2M,2022,17.64,20.35,27.25,31.81,29.8,28.91,28.65,28.39,27.97,26.25,22,19.43,25.73
T2M,2023,19.26,24.12,27.63,30.31,30.4,29.78,29.12,28.57,28.23,26.63,22.98,19.18,26.35
T2M,2024,17.14,22.28,26.86,33.92,30.8,29.76,29.03,28.01,28.31,27.44,22.83,18.82,26.26
T2M,2025,18.93,24.34,29.16,29.97,29.58,28.86,28.36,27.99,27.99,26.77,21.32,17.57,25.9
