PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,13.75,17.14,17.9,19.82,16.72,15.05,14.05,14.88,14.58,17.15,14.92,13.63,15.79
ALLSKY_SFC_SW_DWN,2012,12.15,17.62,19.33,19.03,19.27,12.12,14.32,15.64,13.59,16.02,14.99,13.58,15.64
ALLSKY_SFC_SW_DWN,2013,15.25,17.93,19.67,18.44,15.26,16.85,15.6,14.82,14.8,14.37,16.65,13.16,16.04
ALLSKY_SFC_SW_DWN,2014,14.69,15.77,19.64,22.58,18.1,13.82,15.33,12.6,13.73,17.06,15.49,13.75,16.05
ALLSKY_SFC_SW_DWN,2015,14.11,15.51,18.47,16.66,16.16,14.15,14.52,11.82,14.04,16.58,15.23,12.8,15
ALLSKY_SFC_SW_DWN,2016,12.24,14.96,17.88,18.05,15.84,16.65,12.69,16.75,14.24,15.85,15.21,14.31,15.38
ALLSKY_SFC_SW_DWN,2017,14.85,16.8,14.97,16.16,17.97,13.81,14.67,13.91,13.13,14.46,15.54,13.69,14.99
ALLSKY_SFC_SW_DWN,2018,13.72,15.37,18.3,16.5,14.71,14.76,14.02,16.07,14.74,15.69,15.2,13.53,15.22
ALLSKY_SFC_SW_DWN,2019,15.43,15.39,18.85,18.19,17.81,14.83,13.25,17.34,13.43,14.28,14.58,13.49,15.58
ALLSKY_SFC_SW_DWN,2020,12.54,14.62,18.56,18.72,16.2,14.7,11.16,15.67,11.83,14.22,15.58,13.78,14.8
ALLSKY_SFC_SW_DWN,2021,13.12,16.73,18.97,21.82,15.99,13.59,13.86,12.76,16.03,15.35,15.82,13.31,15.59
ALLSKY_SFC_SW_DWN,2022,12.72,14.65,18.96,16.21,14.76,10.42,16.03,16.9,14.16,14.5,16.56,13.29,14.94
ALLSKY_SFC_SW_DWN,2023,14.6,15.51,17.13,21.14,19.73,13.81,14.95,13.12,15.83,14.52,15.53,12.85,15.72
ALLSKY_SFC_SW_DWN,2024,13.86,14.6,16.69,20.33,16.57,11.61,15.01,13.5,14.91,11.99,15.48,14.04,14.88
ALLSKY_SFC_SW_DWN,2025,12.87,15.57,18.24,17.52,14.05,15.96,15.86,13.34,14.71,15.01,15.23,-999,-999
GWETROOT,2011,0.64,0.55,0.47,0.47,0.56,0.68,0.86,0.95,0.93,0.82,0.69,0.59,0.69
GWETROOT,2012,0.52,0.46,0.44,0.54,0.66,0.86,0.94,0.95,0.95,0.9,0.77,0.68,0.72
GWETROOT,2013,0.61,0.52,0.44,0.44,0.77,0.86,0.92,0.94,0.92,0.93,0.82,0.71,0.74
GWETROOT,2014,0.62,0.54,0.47,0.44,0.55,0.75,0.88,0.93,0.96,0.89,0.76,0.66,0.71
GWETROOT,2015,0.58,0.51,0.45,0.6,0.76,0.93,0.96,0.96,0.97,0.88,0.75,0.66,0.75
GWETROOT,2016,0.59,0.55,0.49,0.76,0.93,0.96,0.99,0.95,0.97,0.94,0.85,0.75,0.81
GWETROOT,2017,0.65,0.58,0.63,0.93,0.97,0.99,0.98,0.98,0.98,0.97,0.87,0.82,0.86
GWETROOT,2018,0.76,0.67,0.59,0.65,0.93,0.98,0.97,0.97,0.96,0.88,0.77,0.68,0.82
GWETROOT,2019,0.6,0.53,0.49,0.55,0.8,0.98,0.99,0.96,0.97,0.96,0.89,0.79,0.79
GWETROOT,2020,0.73,0.64,0.54,0.55,0.82,0.99,0.99,0.96,0.98,0.96,0.88,0.77,0.82
GWETROOT,2021,0.69,0.6,0.53,0.55,0.7,0.91,0.97,0.98,0.95,0.91,0.8,0.72,0.78
GWETROOT,2022,0.65,0.6,0.52,0.76,0.91,0.99,0.95,0.93,0.96,0.94,0.85,0.74,0.82
GWETROOT,2023,0.65,0.56,0.54,0.61,0.63,0.85,0.97,0.97,0.94,0.94,0.83,0.76,0.77
GWETROOT,2024,0.67,0.59,0.54,0.62,0.74,0.98,0.97,0.98,0.91,0.94,0.84,0.73,0.79
GWETROOT,2025,0.64,0.55,0.48,0.55,0.82,0.96,0.96,0.98,0.96,0.92,0.82,0.71,0.78
PRECTOTCORR,2011,0.02,0.22,2.24,3,11.65,15.58,12.77,22.76,10.69,0.74,0.02,0.01,6.69
PRECTOTCORR,2012,0.41,0.95,1.02,14.58,8.87,22.47,16.85,15.56,8.23,4.91,1.07,1.09,8
PRECTOTCORR,2013,0,0.38,0.95,5.2,23.39,12.88,13.95,13.24,8.34,10.19,0,0.04,7.45
PRECTOTCORR,2014,0.01,1.15,1.3,3.38,12.63,20.22,10.05,19.58,19.01,1.88,0,0.09,7.46
PRECTOTCORR,2015,0.39,1.08,1.06,14.78,16.9,21.23,19.94,19.65,13.68,2.79,0.22,0.31,9.37
PRECTOTCORR,2016,2.41,1.26,4.21,25.44,26.73,20.68,40.71,13.17,18.47,8.13,2.34,0.14,13.67
PRECTOTCORR,2017,0.01,4.63,13.23,34.66,19.69,47.23,29.06,41.32,26.02,14.76,0.63,3.58,19.61
PRECTOTCORR,2018,0.41,1.82,2.94,16.94,25.91,31.4,26.23,19.66,16.44,3.65,0.45,0.9,12.27
PRECTOTCORR,2019,0,2.23,1.48,10.02,27.17,37.91,50.57,15.74,20.91,16.47,0.93,0.13,15.38
PRECTOTCORR,2020,1.21,0.49,1.03,12.43,34.31,39.5,37.51,18.84,34.72,17.42,0.32,0,16.51
PRECTOTCORR,2021,0.14,0.05,3.4,6.9,18.58,27.39,21.82,35.9,9.94,8.18,0.05,1.17,11.22
PRECTOTCORR,2022,0.96,1.89,4.07,20.07,32.07,49.8,16.53,13.43,19.49,12.83,0.04,0.24,14.3
PRECTOTCORR,2023,0,0.43,7.23,6.9,10.97,41.4,28.95,28.85,12.41,15.7,2.17,1.28,13.1
PRECTOTCORR,2024,0.04,1.85,4.92,9.12,26.37,51.08,26.42,32.36,11.18,12.28,0.31,0,14.7
PRECTOTCORR,2025,0.01,0.2,1.42,15.19,36.42,19.77,21.9,27.53,15.7,8.15,2.08,0,12.46
RH2M,2011,69.18,60.21,56.73,59.5,78.51,85.51,88.4,88.72,88.49,79.77,72.44,71.32,75
RH2M,2012,63.53,44.78,43.4,75.09,79.58,89.08,90.9,91.21,90.37,82.46,74.63,72.78,74.9
RH2M,2013,63.56,53.9,45.33,59.06,87.09,89.2,89.96,91.17,87.47,83.6,76.8,75.15,75.33
RH2M,2014,72.54,60.66,49.47,49.85,76.65,87.92,88.33,90.68,88.47,80.54,75.84,73.63,74.65
RH2M,2015,70.58,58.36,48.01,77.91,85.62,90.45,90.17,90.25,87.93,82.8,76.97,72.45,77.72
RH2M,2016,66.39,61.04,55.41,85.31,85.03,88.98,91.06,87.91,89.02,83.06,80.52,77.77,79.32
RH2M,2017,66.46,61.06,69.62,86.18,85.17,90.91,90.54,90.19,89.08,84.08,77.08,80.98,81.06
RH2M,2018,75.52,68.81,65.26,76.35,87.59,89.12,89.51,89.11,87.12,79.35,76.53,72.83,79.82
RH2M,2019,64.69,59.51,54.49,72.37,85.19,88.62,90.88,88.11,86.5,83.7,80.17,77.82,77.77
RH2M,2020,77.97,68.04,60.53,67.83,81.87,91.22,91.57,89,89.72,86.17,77.66,79.55,80.14
RH2M,2021,75.82,60.81,55.8,64.98,80.85,90.01,89.26,90.52,86.65,83.42,77.1,76.34,77.75
RH2M,2022,74.17,69.21,57.06,81.54,84.4,91.41,88.18,86.99,88.17,83.54,74.32,76.62,79.67
RH2M,2023,69.62,61.3,62.87,67.94,74.63,86.3,88.04,89.71,86.35,82.53,75.51,77.54,76.97
RH2M,2024,72.85,64.25,61.62,69.71,80.35,90.25,89.38,90.95,84.24,84.61,76.24,73.52,78.22
RH2M,2025,72.42,60.17,52.98,69.94,81.87,88.12,88.72,90.25,87.4,79.87,76.59,74.54,77
T2M,2011,16.44,20.34,24.84,27.77,28.25,28.13,27.96,27.58,27.4,26.51,22.28,18.84,24.71
T2M,2012,17.35,20.6,25.3,26.98,28.29,28.24,28.02,27.76,27.48,25.96,21.69,17.45,24.6
T2M,2013,16.3,21.45,26.11,28.44,27.51,28.39,28.17,27.43,27.85,25.86,22.89,18.94,24.95
T2M,2014,18.17,19.61,24.96,30.04,28.94,28.78,28.41,27.83,27.32,26.17,22.65,19,25.18
T2M,2015,18.58,21.26,25.81,26.3,27.72,27.9,27.79,27.86,27.79,26.21,23.14,18.93,24.96
T2M,2016,17.84,21.98,26.63,27.13,27.77,28.29,27.83,28.47,27.66,26.97,23.2,20.4,25.35
T2M,2017,18.74,21.13,23.26,26.15,28.15,27.99,27.97,28.04,27.9,26.39,23.11,20.01,24.92
T2M,2018,16.28,20.41,24.54,26.27,26.96,28.34,28.46,28.32,27.96,25.24,21.89,18.93,24.48
T2M,2019,18.39,20.36,24.15,27.1,27.98,28.68,28.18,28.71,27.79,25.83,23.14,18.13,24.89
T2M,2020,16.7,18.87,23.94,26.83,27.52,27.76,27.96,28.28,27.92,27.52,23.19,18.05,24.56
T2M,2021,17.4,20.34,25.45,27.52,27.75,27.73,28.24,27.85,28.04,26.67,21.33,19.11,24.81
T2M,2022,17.5,17.71,25.66,26.76,27.6,27.19,28.19,28.37,27.57,26.16,22.64,18.98,24.57
T2M,2023,17.74,20.55,24.46,27.12,27.98,28.57,28.7,28.3,28.51,25.98,23.01,19.74,25.07
T2M,2024,16.71,19.49,23.63,27.85,28.2,28.56,28.84,27.65,28.98,26.46,22.79,18.31,24.79
T2M,2025,18,20.2,24.92,27.26,28.01,28.41,28.37,27.73,28.07,26.91,22.51,18.34,24.91
