PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,12.16,16.59,18.8,20.57,19.17,16.46,17.04,14.47,16.67,17.78,14.55,10.89,16.25
ALLSKY_SFC_SW_DWN,2012,11.72,17.57,20.14,20.19,20.96,15.58,15.97,16.87,15.76,17.15,13.62,10.21,16.3
ALLSKY_SFC_SW_DWN,2013,13.34,16.81,19.95,19.53,15.71,18.19,18.23,15.54,16.76,14.4,16.09,11.92,16.35
ALLSKY_SFC_SW_DWN,2014,11.67,15.24,19.9,22.07,19.88,15.13,17.05,15.62,16.74,16.96,14.63,11.18,16.34
ALLSKY_SFC_SW_DWN,2015,12.12,15.5,19.6,18.05,18.81,16.28,15.45,15.02,17.12,16.9,14.89,10.65,15.86
ALLSKY_SFC_SW_DWN,2016,11.3,14.53,17.16,19.93,18.29,18.6,15.35,18.45,16.28,16.83,14.88,12.8,16.2
ALLSKY_SFC_SW_DWN,2017,13.63,16.18,16.23,17.83,19.78,17.22,14.63,15.97,15.03,14.14,14.73,12.16,15.62
ALLSKY_SFC_SW_DWN,2018,11.83,15.27,18.41,18.91,16.55,17.71,16.08,17.43,16.78,15.7,14.66,12.73,16
ALLSKY_SFC_SW_DWN,2019,14.27,15.58,18.73,18.74,19.62,17.78,15.88,17.58,14.88,14.89,14.26,10.99,16.1
ALLSKY_SFC_SW_DWN,2020,10.92,14.61,18.55,18.33,17.41,17.27,15.24,16.95,13.68,15.09,15.12,10.68,15.32
ALLSKY_SFC_SW_DWN,2021,10.86,16.16,18.19,20.71,18.31,16.06,16.43,15.31,17.15,15.48,14.62,12.22,15.94
ALLSKY_SFC_SW_DWN,2022,11.56,14.79,19.68,17.78,17.45,15.02,19.05,17.67,14.67,16.24,15.67,11.59,15.94
ALLSKY_SFC_SW_DWN,2023,11.34,15.87,16.47,21.01,20.74,16.8,18.53,14.79,16.19,15.01,14.43,11.22,16.02
ALLSKY_SFC_SW_DWN,2024,9.64,14.31,17.59,20.49,18.35,15.32,17.43,14.85,15.28,12.35,14.75,12.21,15.2
ALLSKY_SFC_SW_DWN,2025,11.12,15.08,18.16,18.08,17.6,18.16,14.96,14.52,15.55,15.48,14.89,11.33,15.4
GWETROOT,2011,0.51,0.43,0.37,0.41,0.52,0.6,0.72,0.91,0.92,0.78,0.59,0.49,0.61
GWETROOT,2012,0.44,0.39,0.37,0.43,0.46,0.52,0.65,0.71,0.8,0.79,0.66,0.55,0.56
GWETROOT,2013,0.48,0.41,0.37,0.36,0.53,0.61,0.73,0.75,0.75,0.8,0.68,0.55,0.59
GWETROOT,2014,0.47,0.42,0.38,0.37,0.41,0.66,0.88,0.87,0.92,0.85,0.67,0.55,0.62
GWETROOT,2015,0.47,0.42,0.38,0.5,0.55,0.69,0.9,0.93,0.94,0.82,0.63,0.51,0.65
GWETROOT,2016,0.48,0.46,0.41,0.46,0.58,0.72,0.9,0.94,0.96,0.92,0.79,0.64,0.69
GWETROOT,2017,0.53,0.44,0.48,0.68,0.91,0.97,0.98,0.99,0.98,0.97,0.88,0.81,0.8
GWETROOT,2018,0.7,0.58,0.49,0.6,0.92,0.97,0.95,0.95,0.93,0.83,0.66,0.55,0.76
GWETROOT,2019,0.48,0.43,0.43,0.43,0.59,0.95,0.98,0.95,0.93,0.96,0.9,0.76,0.73
GWETROOT,2020,0.7,0.58,0.5,0.52,0.81,0.98,0.97,0.94,0.95,0.97,0.88,0.74,0.8
GWETROOT,2021,0.62,0.51,0.41,0.41,0.62,0.89,0.95,0.97,0.94,0.94,0.82,0.73,0.74
GWETROOT,2022,0.64,0.58,0.46,0.43,0.65,0.9,0.83,0.83,0.92,0.92,0.81,0.67,0.72
GWETROOT,2023,0.57,0.48,0.44,0.49,0.58,0.74,0.91,0.93,0.94,0.93,0.77,0.7,0.71
GWETROOT,2024,0.62,0.55,0.49,0.47,0.56,0.89,0.94,0.97,0.95,0.97,0.85,0.7,0.75
GWETROOT,2025,0.58,0.49,0.41,0.43,0.6,0.91,0.93,0.97,0.95,0.93,0.85,0.7,0.73
PRECTOTCORR,2011,0.03,0.07,0.87,3.49,8.14,8.41,6.63,19.06,7.36,0.73,0.07,0.01,4.61
PRECTOTCORR,2012,0.46,0.8,0.21,5.23,3.44,6.48,8.79,6.45,8.08,2.66,1.85,0.1,3.71
PRECTOTCORR,2013,0.01,0.39,0.61,2.16,9.24,8.14,6.87,6.83,4.53,6.02,0,0.04,3.76
PRECTOTCORR,2014,0.01,1.04,0.53,1.58,6.5,14.73,7.59,11.54,10.04,1.5,0,0.03,4.6
PRECTOTCORR,2015,0.25,0.76,0.64,7.23,6.41,14.16,14.28,9.37,7.32,1.68,0.05,0.04,5.2
PRECTOTCORR,2016,3.01,0.6,2.23,3.29,12.88,6.9,18.32,9.67,14.6,4.87,0.9,0.01,6.47
